rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate
989.0,1421,2048000,1440,100,4.0967915900000005,0.014133562,0.003919257957604714,0.5647481083869934,0.4671919345855713,990,0.0028892246400937438,-0.006651015020906925,0.2,-1.6508353125676514,0.1498388671875,0.0003
989.0,1435,2068480,1440,101,4.098931369999999,0.013199156,0.003285731098621909,0.5563946962356567,0.4470021724700928,1000,0.0014223434831365012,0.0265952181071043,0.2,-1.6281587801501154,0.1487841796875,0.0003
989.0,1450,2088960,1440,102,4.129030030000001,0.012797458,0.003249019098402641,0.554452657699585,0.46218281984329224,1010,0.0031209713974385523,-0.008972360752522945,0.2,-1.6098263052105903,0.1435595703125,0.0003
989.0,1464,2109440,1440,103,4.12428839,0.012480222,0.0033593137570824185,0.5541447401046753,0.4569157361984253,1020,0.00281053538856213,0.019398165866732597,0.2,-1.6105257639661432,0.150517578125,0.0003
989.0,1478,2129920,1440,104,4.15868221,0.013824481,0.0032782557679820455,0.5471392869949341,0.4601953625679016,1030,0.0018414627372112591,-0.006934004370123148,0.2,-1.5884577249735594,0.159287109375,0.0003
989.0,1493,2150400,1440,105,4.212388970000001,0.013603729,0.003576502689247718,0.5408429503440857,0.4444758892059326,1040,0.0019440802266763057,0.01600511744618416,0.2,-1.5724634800478816,0.1520703125,0.0003
989.0,1507,2170880,1440,106,4.2784335,0.01311723,0.0032915315363788978,0.5380828380584717,0.45609354972839355,1050,0.0024129230697872116,0.0008685135981068015,0.2,-1.5534808478504418,0.151201171875,0.0003
989.0,1521,2191360,1440,107,4.297645569999999,0.013994035,0.0034707750486995793,0.5375604629516602,0.45556873083114624,1060,0.002547136883222265,0.008632287383079529,0.2,-1.54101702965796,0.154267578125,0.0003
989.0,1535,2211840,1440,108,4.3391703900000005,0.012690021,0.0033456834530079505,0.5336304306983948,0.4458886384963989,1070,0.0032147586831706575,0.0025639019440859556,0.2,-1.5349358121678234,0.15609375,0.0003
989.0,1550,2232320,1439,109,4.3715181,0.014190903,0.0033260173287089855,0.5345539450645447,0.45831626653671265,1080,0.0024881796291447243,-0.017027776688337326,0.2,-1.533028554879129,0.1546923828125,0.0003
989.0,1564,2252800,1440,110,4.386747870000001,0.013516466,0.003384254335614969,0.5367529392242432,0.4611817002296448,1090,0.002836299835034879,0.05157046020030975,0.2,-1.5379680958017707,0.1498193359375,0.0003
989.0,1578,2273280,1440,111,4.40338289,0.015060969,0.003605902869239799,0.5358002185821533,0.4632084369659424,1100,0.002853252863424132,0.03090483695268631,0.2,-1.5345053453743458,0.1605126953125,0.0003
989.0,1592,2293760,1440,112,4.4347369599999995,0.0134423245,0.0034643816034076735,0.5361786484718323,0.42423802614212036,1110,0.002297834691416938,-0.010102181695401669,0.2,-1.544270631223917,0.1496875,0.0003
989.0,1606,2314240,1440,113,4.459798769999999,0.013227021,0.0033547634456772358,0.536451518535614,0.42900699377059937,1120,0.00279477081130608,0.019349584355950356,0.2,-1.5396898648887873,0.145087890625,0.0003
989.0,1621,2334720,1440,114,4.45832017,0.014405638,0.003409264624642674,0.5313822031021118,0.42951226234436035,1130,0.0020659740893461277,0.011652966029942036,0.2,-1.522046414501965,0.1530908203125,0.0003
989.0,1635,2355200,1440,115,4.47386162,0.014854522,0.003294806193371187,0.5303041338920593,0.4398677349090576,1140,0.002364701868791599,-0.027523191645741463,0.2,-1.5122885699942707,0.158408203125,0.0003
989.0,1649,2375680,1439,116,4.44941476,0.12138863,0.003226848185477138,0.5322407484054565,0.45563799142837524,1150,0.012790780973009532,0.0039808317087590694,0.2,-1.5231827340275048,0.21185546875,0.0003
989.0,1664,2396160,1439,117,4.40374681,0.01729181,0.0034943603174906455,0.5309629440307617,0.4478168487548828,1160,0.002167710297071608,0.017834115773439407,0.2,-1.5239722166210412,0.1515185546875,0.0003
989.0,1678,2416640,1439,118,4.39937971,0.013486566,0.003368101956220926,0.5319519639015198,0.4500880241394043,1170,0.002459830705192871,-0.004924525041133165,0.2,-1.5181855970993638,0.147109375,0.0003
989.0,1692,2437120,1439,119,4.384645619999999,0.014314366,0.003444491507798375,0.534301221370697,0.4541613459587097,1180,0.0029973538115154953,0.011099387891590595,0.2,-1.5261929209530354,0.15302734375,0.0003
989.0,1707,2457600,1439,120,4.34899458,0.013748085,0.003297594145096809,0.537431001663208,0.45108604431152344,1190,0.0029834992332325783,0.013631421141326427,0.2,-1.537126441001892,0.1607861328125,0.0003
989.0,1721,2478080,1439,121,4.351627869999999,0.014871141,0.00351929328404367,0.539262056350708,0.45666342973709106,1200,0.00289503445266746,0.01318123284727335,0.2,-1.543781816996634,0.151982421875,0.0003
989.0,1735,2498560,1439,122,4.3780113400000005,0.01376046,0.0035141360288616853,0.5315776467323303,0.45537394285202026,1210,0.0023740366175479723,0.030167995020747185,0.2,-1.5190126030519604,0.1579443359375,0.0003
989.0,1750,2519040,1438,123,4.35967798,0.013930859,0.0035687675678855156,0.5359192490577698,0.4425777196884155,1220,0.0026959381108463275,-0.02873384580016136,0.2,-1.523526688888669,0.1555859375,0.0003
989.0,1764,2539520,1439,124,4.34319922,0.03681228,0.0035480700429798163,0.5352659821510315,0.40475326776504517,1230,0.003310728841170203,-0.009264071471989155,0.2,-1.5265177777409553,0.154423828125,0.0003
989.0,1779,2560000,1438,125,4.3389871200000005,0.014224758,0.0034737200370727806,0.531814455986023,0.4184015989303589,1240,0.002619539321458433,-0.024300692602992058,0.2,-1.5171496449783444,0.156083984375,0.0003
989.0,1793,2580480,1438,126,4.3445427599999995,0.013034234,0.003374453352080309,0.5324071049690247,0.42671144008636475,1250,0.0023827486368827523,0.0127476267516613,0.2,-1.5152212676405907,0.1551220703125,0.0003
989.0,1807,2600960,1438,127,4.35139613,0.014772797,0.0034575422637681185,0.5299441814422607,0.43045133352279663,1260,0.00235162171011325,-0.008922701701521873,0.2,-1.5013230922445655,0.1533544921875,0.0003
989.0,1821,2621440,1438,128,4.39472755,0.030321449,0.0036389710859657497,0.5278549194335938,0.44217371940612793,1270,0.006871781513473252,0.0014749818947166204,0.2,-1.4998635672032834,0.161220703125,0.0003
989.0,1836,2641920,1438,129,4.419627080000001,0.015711239,0.0036260862980634556,0.5260501503944397,0.45356571674346924,1280,0.0021255557099357247,0.026601608842611313,0.2,-1.4905464935302735,0.158115234375,0.0003
989.0,1850,2662400,1438,130,4.442429129999999,0.015430374,0.0032815963023313088,0.5275475382804871,0.4434298872947693,1290,0.0031025108703761363,0.008051583543419838,0.2,-1.4938766034319997,0.155947265625,0.0003
