time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/std,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss
1478,663552,0.03812049000000001,130.0,54,448,0.15038204193115234,-0.00022574702282630217,530,0.6339243650436401,0.008916918,-0.002617964521050453,0.2,0.0003,0.11328125,0.00036091263634716595,-1.9212269131094217
1472,675840,0.0368439,130.0,55,458,0.15872949361801147,-0.0007688000436852842,540,0.6234490871429443,0.0097475,-0.01635722629725933,0.2,0.0003,0.1182861328125,0.0003629919395507386,-1.8928767637660107
1475,688128,0.03291367,130.0,56,466,0.15174710750579834,-9.199096578716611e-05,550,0.6155758500099182,0.010025672,-0.010035715997219086,0.2,0.0003,0.11810709635416666,0.0003427904423081903,-1.8613819802179932
1470,700416,0.03644264,130.0,57,476,0.18229657411575317,0.0014062154123773022,560,0.6095578670501709,0.009540278,0.009242146275937557,0.2,0.0003,0.1128173828125,0.000370595078675251,-1.8448892356206974
1464,712704,0.04416139,130.0,58,486,0.18815499544143677,0.0002568330853440178,570,0.6118379831314087,0.01062315,0.009533662348985672,0.2,0.0003,0.11577962239583334,0.0003812315943908592,-1.8404710497086247
1459,724992,0.05288597000000001,130.0,59,496,0.18083161115646362,0.0008062760258326307,580,0.6073218584060669,0.01051532,0.006636279635131359,0.2,0.0003,0.11683756510416667,0.0003267726386790552,-1.8260792832200725
1454,737280,0.05614124,130.0,60,506,0.14487040042877197,0.000807069503813788,590,0.6043496131896973,0.00828452,0.014216468669474125,0.2,0.0003,0.11529947916666666,0.0003664675406904886,-1.821456182313462
1449,749568,0.04794099999999999,130.0,61,517,0.14024537801742554,0.0013616400132984078,600,0.6021286249160767,0.009107108,0.0104976836591959,0.2,0.0003,0.11221516927083333,0.00033297947712374786,-1.810026221970717
1445,761856,0.03279952999999999,130.0,62,527,0.16684681177139282,0.0015601786522893234,610,0.5951118469238281,0.010064015,-0.007403515744954348,0.2,0.0003,0.11710611979166667,0.0003863404681320996,-1.7881033131852746
1447,774144,0.03145736000000001,130.0,63,534,0.1440867781639099,0.0014432781426876318,620,0.5934737920761108,0.014189263,-0.006071750074625015,0.2,0.0003,0.1303955078125,0.00035924816552324046,-1.7756208521003525
