rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_range,train/n_updates
1.3319973899999997,363,389120,1070,1070.0,190,0.208447265625,0.4590550661087036,0.0003,0.009361181408166885,-0.5175365654751658,0.001440763846221671,0.021750618,-0.0038986346626188606,0.32458463311195374,0.2,1890
1.3355105499999995,365,391168,1070,1070.0,191,0.202490234375,0.3844762444496155,0.0003,-0.015817342326045036,-0.5005260041914881,0.0017236689907804247,0.01857312,-0.003161704461672343,0.3217727541923523,0.2,1900
1.3458521399999999,367,393216,1069,1070.0,192,0.1939453125,0.4209098815917969,0.0003,-0.01771409437060356,-0.48477128660306334,0.0015847433653107146,0.015635554,-0.004213733444339595,0.32010260224342346,0.2,1910
1.3543389300000004,369,395264,1068,1070.0,193,0.19716796875,0.44015592336654663,0.0003,0.022321630269289017,-0.4728363762609661,0.001497157914309355,0.02315027,-0.005204899254022166,0.31896543502807617,0.2,1920
1.3575765900000005,371,397312,1068,1070.0,194,0.197216796875,0.4393240213394165,0.0003,-0.0322372168302536,-0.45720337899401786,0.0014407107282750076,0.01643577,-0.00312687815312529,0.31478187441825867,0.2,1930
1.3654690700000003,373,399360,1069,1070.0,195,0.2255859375,0.3736155033111572,0.0003,-0.02749628759920597,-0.4204000961966813,0.001487858903237793,0.026185352,-0.007883156235038769,0.30859124660491943,0.2,1940
1.3695499100000001,375,401408,1069,1070.0,196,0.186669921875,0.44069957733154297,0.0003,-0.017781587317585945,-0.4117784731090069,0.0013995728359077475,0.021657642,-0.006088138070481364,0.31189271807670593,0.2,1950
1.3822261000000002,377,403456,1069,1070.0,197,0.17333984375,0.4222419857978821,0.0003,-0.005928204860538244,-0.4045645370148122,0.0017656376667218865,0.018294264,-0.0068870130649884235,0.3069852292537689,0.2,1960
1.3807606800000005,378,405504,1070,1070.0,198,0.19794921875,0.4225854277610779,0.0003,-0.011282906867563725,-0.3852824166417122,0.0014127141854260116,0.021818064,-0.0038101179918157866,0.3058004379272461,0.2,1970
1.38753491,380,407552,1070,1070.0,199,0.204833984375,0.36755311489105225,0.0003,-0.013759489171206951,-0.38037935718894006,0.0014153548629110447,0.016211335,-0.007124611520703183,0.30436187982559204,0.2,1980
