time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
617,1542,3158016,5111,0.03771454095840454,0.0003,0.2,3.27792594358325,0.007111863514001016,0.0009574719524152897,0.359375,0.04721248149871826,-0.01835603639483452,15410,0.055550493,0.37480141000000006,9989.0
617,1543,3160064,5113,0.1084185242652893,0.0003,0.2,3.280227603763342,0.004869699463597499,0.005971401440820046,0.352099609375,0.04681500047445297,1.665984746068716e-05,15420,0.040600926,0.37480141000000006,9989.0
617,1544,3162112,5117,-0.19773447513580322,0.0003,0.2,3.2840965770184996,0.008862818340276135,0.0006871909799201603,0.351123046875,0.04702277481555939,-0.022606758400797844,15430,0.044743147,0.37480141000000006,9989.0
617,1545,3164160,5120,-0.02184748649597168,0.0003,0.2,3.2871127024292948,0.006855399829510134,0.0007044040509981642,0.332861328125,0.04673318564891815,-0.0008077154634520411,15440,0.039457373,0.37480141000000006,9989.0
617,1546,3166208,5123,-0.10464119911193848,0.0003,0.2,3.297255218029022,0.0030702141135407145,0.0004905333522629007,0.3447265625,0.0465334877371788,-0.027210060507059097,15450,0.034361992,0.37480141000000006,9989.0
618,1547,3168256,5126,0.16118067502975464,0.0003,0.2,3.31303681358695,0.004951676516066072,0.003477756994197989,0.366455078125,0.04600022733211517,0.058094412088394165,15460,0.059976276,0.35680474999999995,9989.0
618,1548,3170304,5128,0.005631446838378906,0.0003,0.2,3.330352281033993,-0.0037977979896822943,0.0036710831439449977,0.334130859375,0.04569774866104126,-0.026825033128261566,15470,0.04053986,0.35680474999999995,9989.0
618,1549,3172352,5131,-0.14698529243469238,0.0003,0.2,3.3277664102613924,0.007020198940881528,0.0006631043921061063,0.286328125,0.046055253595113754,-0.030669542029500008,15480,0.024206225,0.35680474999999995,9989.0
618,1550,3174400,5134,-0.006547093391418457,0.0003,0.2,3.319070552289486,0.008575902074517217,0.0008081178862084926,0.322021484375,0.0462770089507103,-0.025530068203806877,15490,0.0624034,0.35680474999999995,9989.0
618,1551,3176448,5137,-0.13028419017791748,0.0003,0.2,3.3129023306071756,0.00486842067039106,0.00043847136576005143,0.33544921875,0.04635278135538101,-0.021233009174466133,15500,0.02775875,0.35680474999999995,9989.0
618,1552,3178496,5140,0.1645674705505371,0.0003,0.2,3.324851942807436,0.009599407241330482,0.0033178792583385074,0.394189453125,0.04562769830226898,0.018775761127471924,15510,0.11604731,0.34439137,9989.0
618,1553,3180544,5143,0.002010643482208252,0.0003,0.2,3.340130523592234,0.008502304533976712,0.0035904035578823825,0.38974609375,0.0456329882144928,0.007862851954996586,15520,0.05201922,0.34439137,9989.0
618,1554,3182592,5146,-0.073478102684021,0.0003,0.2,3.314235334843397,0.02954426166252233,0.0007593666494472018,0.3095703125,0.046906977891922,0.036300912499427795,15530,0.057457045,0.34439137,9989.0
618,1555,3184640,5149,-0.0337294340133667,0.0003,0.2,3.290376632660627,0.010388525857706554,0.0006711400618769403,0.37109375,0.046839550137519836,-0.001908670412376523,15540,0.060262665,0.34439137,9989.0
618,1556,3186688,5151,0.01258939504623413,0.0003,0.2,3.28467772603035,0.005090774082782445,0.0008753568633665054,0.31083984375,0.04694844037294388,0.007480586878955364,15550,0.032795947,0.32661629,9989.0
618,1557,3188736,5154,0.17538434267044067,0.0003,0.2,3.2786898247897627,0.011601986538880737,0.0030065969151564786,0.363818359375,0.04717819392681122,0.03780149668455124,15560,0.05351033,0.32661629,9989.0
618,1558,3190784,5157,0.019964158535003662,0.0003,0.2,3.279862128198147,0.00440660355889122,0.004023529584173957,0.350390625,0.04679671674966812,-0.020508024841547012,15570,0.035938412,0.32661629,9989.0
618,1559,3192832,5160,-0.1568223237991333,0.0003,0.2,3.2757283106446264,0.015280529941082931,0.0006817281151597854,0.343212890625,0.04741436243057251,0.05701141431927681,15580,0.03742675,0.32661629,9989.0
618,1560,3194880,5162,-0.10437560081481934,0.0003,0.2,3.270599629729986,0.006794343436195049,0.0007067970705634252,0.35498046875,0.04694540053606033,-0.0010474380105733871,15590,0.09863506,0.32661629,9989.0
618,1561,3196928,5165,0.027488768100738525,0.0003,0.2,3.2779991410672666,0.009716468214901398,0.0007532633496339259,0.354931640625,0.04714837670326233,-0.00045775360194966197,15600,0.1442575,0.31298333999999994,9989.0
618,1562,3198976,5168,-0.5473421812057495,0.0003,0.2,3.262817020714283,0.004790910670999437,0.0006397136249233881,0.306787109375,0.04776228219270706,-0.014989630319178104,15610,0.07096261,0.31298333999999994,9989.0
618,1563,3201024,5171,-0.059809088706970215,0.0003,0.2,3.2507475659251215,0.0018949725435959408,0.002865594192144272,0.409912109375,0.047671347856521606,-0.01554385107010603,15620,0.054341786,0.31298333999999994,9989.0
619,1564,3203072,5174,-0.23369121551513672,0.0003,0.2,3.248275660723448,0.0072939506804686974,0.0006928237801730574,0.296826171875,0.048021670430898666,-0.019851678982377052,15630,0.030205432,0.31298333999999994,9989.0
619,1565,3205120,5176,-11.818343162536621,0.0003,0.2,3.228402218967676,0.002423016680404544,0.00011606631650238342,0.35078125,0.048441920429468155,-0.011946733109652996,15640,0.057993524,0.31298333999999994,9989.0
619,1566,3207168,5179,-0.01457369327545166,0.0003,0.2,3.223863347619772,0.003371485313255107,0.001448385413482356,0.333544921875,0.04831996187567711,0.03587663918733597,15650,0.056559518,0.28924817,9989.0
619,1567,3209216,5182,-0.28869831562042236,0.0003,0.2,3.2267128832638265,0.00571919422945939,0.00041202558031727676,0.35712890625,0.048245105892419815,0.02843882329761982,15660,0.065185785,0.28924817,9989.0
619,1568,3211264,5185,0.03324425220489502,0.0003,0.2,3.234119599312544,0.003460185976655339,0.0026993619187351213,0.36806640625,0.04814833775162697,0.004107858054339886,15670,0.06611645,0.28924817,9989.0
619,1569,3213312,5187,-0.2359788417816162,0.0003,0.2,3.228036271035671,0.007953548053046688,0.0007069997281178075,0.307861328125,0.048412784934043884,0.0017218701541423798,15680,0.046453595,0.28924817,9989.0
619,1570,3215360,5190,-13.799714088439941,0.0003,0.2,3.2099925734102728,0.01842497604957316,0.00012029044664245703,0.368017578125,0.04889398440718651,-0.020758910104632378,15690,0.042368703,0.28924817,9989.0
619,1571,3217408,5193,-0.29695045948028564,0.0003,0.2,3.2051860213279726,0.004307191890256945,0.00036849798899538653,0.380126953125,0.04886316508054733,-0.002559158718213439,15700,0.08741596,0.26419303,9989.0
619,1572,3219456,5196,0.00024068355560302734,0.0003,0.2,3.199285317212343,0.01403635331080295,0.0035928333525134803,0.337841796875,0.049172282218933105,0.02699502743780613,15710,0.060008585,0.26419303,9989.0
619,1573,3221504,5199,-0.12870097160339355,0.0003,0.2,3.1873076140880583,0.005238824610569281,0.0008534016600606264,0.3091796875,0.04941241443157196,0.013994289562106133,15720,0.05808103,0.26419303,9989.0
619,1574,3223552,5202,-0.039333224296569824,0.0003,0.2,3.1743461646139624,0.012277641758555547,0.0006053277812270608,0.328662109375,0.04972020536661148,0.09063263982534409,15730,0.038051736,0.26419303,9989.0
619,1575,3225600,5205,-0.12366628646850586,0.0003,0.2,3.1698269113898276,0.005588881457515527,0.0004396050461309642,0.3701171875,0.049525875598192215,0.07290997356176376,15740,0.058529668,0.26419303,9989.0
619,1576,3227648,5207,0.02255725860595703,0.0003,0.2,3.1955363072454928,0.002178703568642959,0.0008852458827277587,0.3060546875,0.04874696582555771,-0.003039703704416752,15750,0.03654106,0.24554222,9989.0
619,1577,3229696,5210,-1.015409231185913,0.0003,0.2,3.2115780539810657,-0.0011035583505872638,0.0001349013030704782,0.3125,0.04864266514778137,0.0002700853510759771,15760,0.030733164,0.24554222,9989.0
619,1578,3231744,5213,0.05622208118438721,0.0003,0.2,3.2111285723745824,0.0052006662241183225,0.003024069508364846,0.360693359375,0.0488305538892746,0.013340286910533905,15770,0.04931229,0.24554222,9989.0
619,1579,3233792,5216,-0.3698512315750122,0.0003,0.2,3.1971419759094717,0.010153382537828293,0.0002953030405819845,0.331494140625,0.04923563450574875,-0.026296257972717285,15780,0.03497581,0.24554222,9989.0
620,1580,3235840,5218,-0.053888797760009766,0.0003,0.2,3.204612746834755,0.0026459065600647593,0.00152826540395381,0.35556640625,0.048556357622146606,0.02042476460337639,15790,0.12621336,0.24554222,9989.0
620,1581,3237888,5221,-0.006580948829650879,0.0003,0.2,3.2194097682833673,0.011253300702082924,0.001097923135421297,0.360107421875,0.04845915734767914,0.07235101610422134,15800,0.04016907,0.22979467,9989.0
620,1582,3239936,5224,0.028996706008911133,0.0003,0.2,3.214552330225706,0.009042729231441626,0.0035556358082885708,0.384619140625,0.04880404472351074,0.0031948296818882227,15810,0.033678025,0.22979467,9989.0
620,1583,3241984,5227,-0.054279446601867676,0.0003,0.2,3.1983256563544273,0.0050452917683287525,0.000676229930104455,0.329541015625,0.04940709471702576,-0.021610202267766,15820,0.035153225,0.22979467,9989.0
