time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
794624,1233,388,644,-0.9355551667511464,16.99250030517578,0.0003,37.98593897223473,0.012826728,0.12373046875,0.3841260075569153,0.2,-0.0016353525265003555,3870,-0.00011706352233886719,296.11207453164565,9989.0
796672,1236,389,644,-0.9069091273471713,30.6365966796875,0.0003,55.04883037805557,0.012249574,0.109130859375,0.3782323896884918,0.2,-0.00036462286952883006,3880,-0.0016922950744628906,296.11207453164565,9989.0
798720,1239,390,644,-0.8789901925250888,21.737802505493164,0.0003,43.74497440457344,0.0070530083,0.086083984375,0.3739398717880249,0.2,-0.0033205558072950227,3890,0.0004513263702392578,296.11207453164565,9989.0
800768,1243,391,644,-0.8483498442918063,18.997024536132812,0.0003,39.584766668081286,0.011008304,0.08955078125,0.367058664560318,0.2,-0.005612679375917651,3900,-0.00015461444854736328,310.843520825,9989.0
802816,1246,392,644,-0.8353165889158845,21.751651763916016,0.0003,36.02749690413475,0.008005354,0.108251953125,0.3682240843772888,0.2,7.283327868208289e-05,3910,-0.0005611181259155273,310.843520825,9989.0
804864,1249,393,644,-0.8366893904283643,21.054941177368164,0.0003,36.50126687884331,0.009963176,0.1259765625,0.36760836839675903,0.2,-0.0006954879376280587,3920,0.002574741840362549,310.843520825,9989.0
806912,1252,394,644,-0.8275120578706264,18.637144088745117,0.0003,42.65681087374687,0.005969824,0.0927734375,0.3649064898490906,0.2,-0.005285015188565012,3930,-0.005117654800415039,310.843520825,9989.0
808960,1255,395,644,-0.8041604157537222,24.006975173950195,0.0003,46.13460969924927,0.010945269,0.084326171875,0.3592984080314636,0.2,-0.00254862487417995,3940,-0.0008676052093505859,310.843520825,9989.0
811008,1258,396,644,-0.7715600458905101,15.210947036743164,0.0003,32.69945740699768,0.012803303,0.1119140625,0.35393425822257996,0.2,-0.001921408702037297,3950,-0.002640843391418457,321.95962276543213,9989.0
813056,1260,397,644,-0.7534055281430483,20.960712432861328,0.0003,43.029675191640855,0.009169933,0.089794921875,0.35331517457962036,0.2,-0.0036526233641779983,3960,-0.0005013942718505859,321.95962276543213,9989.0
815104,1264,398,644,-0.7445403816178441,23.13272476196289,0.0003,50.600805008411406,0.009697428,0.0794921875,0.350755512714386,0.2,-0.0012115363613702356,3970,0.0006834864616394043,321.95962276543213,9989.0
817152,1267,399,644,-0.7245274191722274,23.744998931884766,0.0003,35.48517231345177,0.0069770864,0.111572265625,0.3469367027282715,0.2,-0.0028929066684213467,3980,-0.003953814506530762,321.95962276543213,9989.0
819200,1270,400,644,-0.7004431482404471,12.366843223571777,0.0003,37.05879521369934,0.008024645,0.08369140625,0.34221482276916504,0.2,-0.005290420187520795,3990,-0.0002943277359008789,333.06239836585365,9989.0
821248,1273,401,645,-0.6771975515410305,18.361291885375977,0.0003,34.83484988808632,0.011025936,0.106787109375,0.3399277925491333,0.2,-0.005654534023778979,4000,-0.0005106925964355469,333.06239836585365,9989.0
823296,1275,402,645,-0.6445411399006844,13.373310089111328,0.0003,32.625497967004776,0.010099535,0.08583984375,0.3320435583591461,0.2,-0.008359864338126499,4010,0.0015190839767456055,333.06239836585365,9989.0
825344,1278,403,645,-0.6242386858910323,11.356034278869629,0.0003,28.455125361680984,0.006986021,0.07470703125,0.33124619722366333,0.2,-0.0017981832308578305,4020,0.0021373629570007324,333.06239836585365,9989.0
827392,1281,404,645,-0.6166322272270918,12.632406234741211,0.0003,31.92651174068451,0.016811557,0.13671875,0.3304581940174103,0.2,0.0008678410405991599,4030,0.002478957176208496,333.06239836585365,9989.0
829440,1284,405,645,-0.5920458788052201,20.188840866088867,0.0003,34.87838352918625,0.010877734,0.101806640625,0.32367777824401855,0.2,-0.0014431368865189143,4040,0.012581706047058105,349.82627843373496,9989.0
831488,1287,406,645,-0.5588403219357133,15.890748977661133,0.0003,26.177003553509714,0.013242226,0.10458984375,0.3192538022994995,0.2,-0.000923945136310067,4050,-0.019996285438537598,349.82627843373496,9989.0
