time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction
6307840,4989.0,770,6743,935,2494.47340804,0.052630566,-0.031634148210287094,0.005443394703797821,0.0003,0.992662494070828,0.16514456272125244,0.7700871574692428,7690,0.2,-0.007750895479694009,0.36197509765625
6316032,4989.0,771,6752,935,2494.4775423899996,0.051931046,-0.029315076768398285,0.005980163208732847,0.0003,0.993493674788624,0.16594535112380981,0.7574756735004484,7700,0.2,0.002968844968927442,0.36258544921875
6324224,4989.0,772,6761,935,2494.4813846099996,0.050491713,-0.022451510652899742,0.006049973062727076,0.0003,0.9950225758366287,0.16667336225509644,0.7497313717380166,7710,0.2,-0.00460682210032246,0.35228271484375
6332416,4989.0,773,6769,935,2494.48695252,0.051243503,-0.030937759205698967,0.0044264022120842125,0.0003,0.9940817253664136,0.1662551462650299,0.7482940426096321,7720,0.2,-0.007791764813373447,0.365478515625
6340608,4989.0,774,6778,935,2494.49156279,0.04859684,-0.019168615341186523,0.006517793500006519,0.0003,0.9960549967363477,0.16589492559432983,0.7552713584154844,7730,0.2,-0.0032550956602790393,0.3515625
6348800,4989.0,775,6786,935,2494.4891931300003,0.0501689,-0.04417102411389351,0.005361572255242209,0.0003,0.9930682783015072,0.16657483577728271,0.7487357505597174,7740,0.2,-0.003973160855821334,0.3458740234375
6356992,4989.0,776,6795,935,2494.4823545199997,0.056442,0.045007627457380295,0.005165276539810293,0.0003,0.9965252883266658,0.16588738560676575,0.7536023666150868,7750,0.2,-0.006661778774287086,0.35401611328125
6365184,4989.0,777,6804,935,2494.48433179,0.045864537,-0.021823130548000336,0.005745239851330552,0.0003,0.9951965720392764,0.16503503918647766,0.7623415681533515,7760,0.2,-0.003522475882346043,0.348291015625
6373376,4989.0,778,6812,935,2494.4967751500003,0.052109964,0.08100301027297974,0.004841304004094127,0.0003,0.9928523232229054,0.1644916534423828,0.7709706508554518,7770,0.2,-0.0056292926718015225,0.35760498046875
6381568,4989.0,779,6821,935,2494.4902175200004,0.054066017,0.006999206263571978,0.006321711410146235,0.0003,0.9945455356501043,0.16266661882400513,0.7912345484830439,7780,0.2,-0.005879177871611319,0.361376953125
6389760,4989.0,780,6830,935,2494.49787143,0.049092643,-0.005981059744954109,0.0061260006732482,0.0003,0.9959978028200567,0.16172581911087036,0.8031806169077754,7790,0.2,-0.002412904819357209,0.34840087890625
6397952,4989.0,781,6838,935,2494.5018160199998,0.05367998,-0.007297547068446875,0.004259938728864654,0.0003,0.9942426304332912,0.15981191396713257,0.8245749412104487,7800,0.2,-0.007017067012930056,0.36224365234375
6406144,4989.0,782,6847,935,2494.50132299,0.05151214,-0.015461869537830353,0.006516881832521903,0.0003,0.9947725050151348,0.16115255653858185,0.8171927801333367,7810,0.2,-0.00413306934206048,0.3594482421875
6414336,4989.0,783,6856,935,2494.49873452,0.049907044,-0.012331118807196617,0.00498702613522255,0.0003,0.9958375627174973,0.16103892028331757,0.8177866971120238,7820,0.2,-0.003570551632583374,0.3599609375
6422528,4989.0,784,6864,935,2494.49251474,0.051702417,0.02436814457178116,0.004848308944929158,0.0003,0.9929476198740304,0.1600475013256073,0.8171495269052684,7830,0.2,-0.0072120478485885545,0.35125732421875
6430720,4989.0,785,6873,935,2494.4892991399997,0.05107993,-0.022666417062282562,0.006162998942363629,0.0003,0.9958680812269449,0.15973658859729767,0.8277876595966518,7840,0.2,-0.0019848449213895948,0.3566650390625
6438912,4989.0,786,6882,935,2494.4900773900004,0.044240944,-0.01602732390165329,0.005778999682661379,0.0003,0.9943539137020707,0.16057568788528442,0.822494201734662,7850,0.2,-0.0036399598313437307,0.34547119140625
6447104,4989.0,787,6890,935,2494.48276277,0.049710527,-0.0024707806296646595,0.004958953940149513,0.0003,0.9956614160910249,0.16139450669288635,0.8200704316608608,7860,0.2,-0.004710495128892944,0.35023193359375
