,direction,risk
369,-1.0,1.0
370,-1.0,0.19896945
371,-1.0,0.6658682
372,0.43324462,0.0
373,0.4457758,0.32379824
374,-0.038189046,0.66716635
375,0.48465124,1.0
376,-1.0,1.0
377,0.9725138,0.0
378,0.6353235,0.09494559
379,-1.0,1.0
380,0.50226647,0.02976742
381,-0.15025261,1.0
382,0.6240697,0.0
383,0.55033106,0.8575446
384,-0.18146625,0.5739711
385,-1.0,1.0
386,0.6240697,0.0
387,-1.0,1.0
388,0.6240697,0.0
389,-0.45550287,0.6926965
390,-0.18146625,0.5739711
391,-0.18146625,0.5739711
392,-0.45550287,0.6926965
393,0.55033106,0.8575446
394,-0.18146625,0.5739711
395,-0.33263177,1.0
396,-0.33263177,1.0
397,0.52419734,0.0
398,0.6240697,0.0
399,-0.33263177,1.0
400,-1.0,0.77727604
401,0.11635466,0.0
402,1.0,0.0
403,-0.049222782,0.98208934
404,0.17536297,0.23202632
405,0.7776005,1.0
406,-0.7976321,1.0
407,0.6240697,0.0
408,0.052615605,0.428104
409,-0.2901971,0.19038387
410,-0.67753994,1.0
411,0.6240697,0.0
412,-0.18146625,0.5739711
413,-0.33263177,1.0
414,-1.0,0.6897269
415,0.6240697,0.0
416,0.11635466,0.0
417,0.11635466,0.0
418,0.55033106,0.8575446
419,-0.33263177,1.0
420,-0.33263177,1.0
421,-0.05854305,0.048858173
422,-0.2901971,0.19038387
423,-0.45550287,0.6926965
424,-0.18146625,0.5739711
425,-0.33263177,1.0
426,-0.45550287,0.6926965
427,0.52419734,0.0
428,0.5005623,0.93145233
429,-1.0,1.0
430,-0.4883943,0.5323238
431,0.019705243,0.0
432,-0.45550287,0.6926965
433,0.43324462,0.0
434,-1.0,1.0
435,-1.0,1.0
436,1.0,0.6842745
437,1.0,0.0
438,1.0,1.0
439,0.041298408,0.51541096
440,-0.3271944,0.7819504
441,0.2830494,0.42487252
442,-1.0,0.8230927
443,-1.0,0.37305403
444,-1.0,1.0
445,0.25632098,0.51702595
446,-0.9422213,0.34487945
447,-0.038189046,0.66716635
448,0.55033106,0.8575446
449,0.55033106,0.8575446
450,0.48465124,1.0
451,-1.0,1.0
452,-0.6070357,0.0
453,1.0,0.0
