time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/n_updates,train/std
2287,1232,2523136,1102,1071.0,2.54848337,0.048123855,0.0003,1.610844921693206,-0.002780966111458838,0.2295190691947937,0.0016450686836833484,0.354248046875,0.0012149144895374775,0.2,12310,0.10747990012168884
2289,1233,2525184,1102,1071.0,2.54793317,0.044345967,0.0003,1.6266385175287723,0.0057348632646608165,0.2932356595993042,0.001923622755384713,0.368359375,-0.05598555877804756,0.2,12320,0.10752000659704208
2291,1234,2527232,1102,1071.0,2.5416298200000003,0.037407815,0.0003,1.6314109671860932,0.002361925288278144,0.27991992235183716,0.002091035164994537,0.32568359375,0.0015967923682183027,0.2,12330,0.10727256536483765
2293,1235,2529280,1102,1071.0,2.5439782500000003,0.03845017,0.0003,1.6191662199795247,0.0009502946806605906,0.26764482259750366,0.0020653375209803925,0.3681640625,-0.04488977789878845,0.2,12340,0.10848338901996613
2294,1236,2531328,1103,1071.0,2.5439776,0.042954452,0.0003,1.6092913836240768,0.0033060917314287506,0.28154170513153076,0.0020579266696586274,0.3421875,0.040270231664180756,0.2,12350,0.10876277089118958
2296,1237,2533376,1103,1071.0,2.54174649,0.054041423,0.0003,1.6005956273525954,-0.0014573253516573458,0.2827179431915283,0.0021961885673590586,0.366552734375,-0.01283659040927887,0.2,12360,0.10917578637599945
2298,1238,2535424,1103,1071.0,2.53820234,0.032853313,0.0003,1.5981750629842282,0.003884827777801547,0.2727871537208557,0.0020842172832999497,0.34921875,-0.025349633768200874,0.2,12370,0.10952247679233551
2300,1239,2537472,1103,1071.0,2.5309771800000003,0.047012575,0.0003,1.607991611585021,0.00016330406215274705,0.2819700837135315,0.002046423350475379,0.35654296875,-0.006598419975489378,0.2,12380,0.10850635170936584
2302,1240,2539520,1103,1071.0,2.53378196,0.05502902,0.0003,1.600420594960451,0.0011571811337489635,0.26013457775115967,0.002129675181095081,0.348876953125,-0.016038652509450912,0.2,12390,0.10985328257083893
2303,1241,2541568,1103,1071.0,2.53134857,0.035476476,0.0003,1.5897785108536482,0.005899240223516245,0.28042131662368774,0.001991367488699325,0.334912109375,0.008215658366680145,0.2,12400,0.109869584441185
2305,1242,2543616,1103,1071.0,2.53286029,0.038364705,0.0003,1.5871052484959365,0.007416373721207492,0.27362024784088135,0.0021688852244551526,0.337646484375,0.0003224210813641548,0.2,12410,0.10992984473705292
2307,1243,2545664,1103,1071.0,2.53398878,0.040317405,0.0003,1.6002705667167902,-0.00013824456182192079,0.24619519710540771,0.0015152267824305454,0.3451171875,-0.03153297305107117,0.2,12420,0.10897598415613174
2309,1244,2547712,1103,1071.0,2.52905209,0.03700697,0.0003,1.6134468667209148,0.0033119137879111804,0.2704107165336609,0.00184744566995505,0.342431640625,0.013528036884963512,0.2,12430,0.10787081718444824
2311,1245,2549760,1103,1071.0,2.52798341,0.059048153,0.0003,1.6236993819475174,-0.0012585813798068556,0.27790558338165283,0.0019344184942383436,0.3685546875,-0.0012335326755419374,0.2,12440,0.10760319232940674
2312,1246,2551808,1103,1071.0,2.53052465,0.042396687,0.0003,1.6185471381992103,-0.00039753265009494497,0.2864970564842224,0.001994050700341177,0.336865234375,0.005572735331952572,0.2,12450,0.10833235085010529
2314,1247,2553856,1103,1071.0,2.5322087,0.0359544,0.0003,1.6056692633777856,0.003423714709788328,0.2956644296646118,0.0018863492236050662,0.357080078125,0.005734144244343042,0.2,12460,0.10901439189910889
2316,1248,2555904,1103,1071.0,2.52614654,0.044757992,0.0003,1.5933894913643598,0.0026526998226472642,0.2694627642631531,0.002176875394070521,0.362255859375,-0.00836355984210968,0.2,12470,0.10945487767457962
2318,1249,2557952,1103,1071.0,2.51872172,0.038818963,0.0003,1.586186845973134,0.003435021218319889,0.2787637710571289,0.0020246198404493044,0.315478515625,0.022705934941768646,0.2,12480,0.11021168529987335
2319,1250,2560000,1103,1071.0,2.5091708099999996,0.039262682,0.0003,1.5730529062449932,-0.0015303238789783791,0.2803676128387451,0.0020362366227345773,0.331787109375,-0.01881169155240059,0.2,12490,0.11066403985023499
2321,1251,2562048,1103,1071.0,2.50602146,0.059388988,0.0003,1.569393128529191,0.0041190037678461525,0.272066593170166,0.002004161730110354,0.329541015625,-0.01697556860744953,0.2,12500,0.1106502115726471
2323,1252,2564096,1103,1071.0,2.50809981,0.043469362,0.0003,1.5538397155702115,0.0016470674658194185,0.28497910499572754,0.001992812279240752,0.33271484375,0.022567875683307648,0.2,12510,0.11191990971565247
2325,1253,2566144,1103,1071.0,2.50431826,0.04868007,0.0003,1.5395225327461959,-0.003847965953173116,0.28117358684539795,0.0020098424258321755,0.335205078125,-0.0029680742882192135,0.2,12520,0.11265969276428223
2327,1254,2568192,1103,1071.0,2.50170109,0.03197527,0.0003,1.5310898020863533,-0.00011953701032325625,0.24863415956497192,0.002084756399926846,0.29443359375,0.045049041509628296,0.2,12530,0.11263519525527954
2329,1255,2570240,1103,1071.0,2.49800718,0.033686172,0.0003,1.5308566704392432,0.004760858107329113,0.2418091893196106,0.001624994929989043,0.34931640625,0.036979224532842636,0.2,12540,0.11302262544631958
2331,1256,2572288,1103,1071.0,2.4899157599999997,0.038843293,0.0003,1.5204794164747,-0.003711366601055488,0.28044313192367554,0.0020416533727257045,0.323779296875,-0.0035252149682492018,0.2,12550,0.11377021670341492
