time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/std,train/loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
644,819200,400,1270,0.0024081420204311145,-1.099765495583415,3990,-0.006484508514404297,0.2,0.025698284,0.158447265625,0.41917574405670166,-0.0352228581905365,0.0003,0.004061660359730013,9989.0,0.6364913780487805
644,821248,401,1273,0.001285165282570233,-1.0809807416051627,4000,-0.014521360397338867,0.2,0.019837536,0.139697265625,0.41338494420051575,0.010329809971153736,0.0003,-0.0034165086995926685,9989.0,0.6364913780487805
645,823296,402,1276,0.000983886942594836,-1.0585847735404967,4010,-0.013133764266967773,0.2,0.08065054,0.165478515625,0.4104595184326172,-0.0040105367079377174,0.0003,0.004722180421231315,9989.0,0.6364913780487805
645,825344,403,1279,0.00123566370766639,-1.0501207426190375,4020,-0.015141129493713379,0.2,0.0705175,0.14541015625,0.40902048349380493,0.00029702193569391966,0.0003,0.007412756253324914,9989.0,0.6364913780487805
645,827392,404,1282,0.0008052779829995415,-1.0531553387641908,4030,-0.034134864807128906,0.2,0.050915606,0.222412109375,0.41153156757354736,0.014489836990833282,0.0003,0.007579110559163382,9989.0,0.6364913780487805
645,829440,405,1285,0.0019114348739094566,-1.0587964080274106,4040,0.0057364702224731445,0.2,0.024812702,0.148779296875,0.4112628400325775,0.00920348335057497,0.0003,0.005270871595712379,9989.0,0.6323841325301205
645,831488,406,1288,0.0012342789023023215,-1.041168450936675,4050,-0.040413856506347656,0.2,0.022508577,0.135888671875,0.4057406783103943,-0.004147282801568508,0.0003,-0.0037022968048404437,9989.0,0.6323841325301205
645,833536,407,1291,0.001226531340398651,-1.0346839413046838,4060,0.0007151961326599121,0.2,0.090306446,0.19384765625,0.40780118107795715,0.0035421797074377537,0.0003,0.0105790440691635,9989.0,0.6323841325301205
645,835584,408,1295,0.0015133188155232347,-1.0390202715992927,4070,-0.006757259368896484,0.2,0.016319387,0.147021484375,0.40737560391426086,-0.003541652811691165,0.0003,0.001884902898746077,9989.0,0.6323841325301205
645,837632,409,1298,0.0007995935225153517,-1.0286392394453288,4080,-0.03730916976928711,0.2,0.03441699,0.12744140625,0.403076171875,-0.0180565994232893,0.0003,-0.0014976380596635863,9989.0,0.6323841325301205
645,839680,410,1301,0.0021569051041296916,-1.016012255847454,4090,0.005958616733551025,0.2,0.068225354,0.158203125,0.40240317583084106,0.006091821938753128,0.0003,0.0031463485735002904,9989.0,0.6527773095238095
645,841728,411,1304,0.0008698059426023974,-1.0159295093268157,4100,-0.020588159561157227,0.2,0.061635293,0.176416015625,0.4020581841468811,0.001269560307264328,0.0003,0.013747969242831459,9989.0,0.6527773095238095
645,843776,412,1307,0.0009362035571029992,-1.0188366252928973,4110,-0.006212115287780762,0.2,0.16991277,0.20654296875,0.4049829840660095,0.0806262195110321,0.0003,0.020448930910788476,9989.0,0.6527773095238095
645,845824,413,1310,0.0014407997756279655,-1.0237569089978933,4120,-0.0075778961181640625,0.2,0.16186841,0.233203125,0.40369856357574463,-0.03450798988342285,0.0003,0.016690854729677084,9989.0,0.6527773095238095
645,847872,414,1313,0.0008639328523713629,-1.0188147567212582,4130,-0.012381792068481445,0.2,0.023190469,0.1703125,0.4025404751300812,0.022862952202558517,0.0003,0.004804114719445351,9989.0,0.6527773095238095
645,849920,415,1316,0.001984668909244647,-1.0275905404239893,4140,-0.009897232055664062,0.2,0.1363134,0.172705078125,0.4077155590057373,-0.003502332605421543,0.0003,0.0010969829017994925,9989.0,0.6782719882352941
645,851968,416,1320,0.0008618273674073862,-1.0443046651780605,4150,-0.04249775409698486,0.2,0.054939188,0.19892578125,0.4089854955673218,-0.004454512614756823,0.0003,0.010529481568664779,9989.0,0.6782719882352941
645,854016,417,1323,0.000958669081228436,-1.0458389095962048,4160,-0.004441380500793457,0.2,0.10666156,0.167333984375,0.4072701036930084,0.025545919314026833,0.0003,0.005533644047682173,9989.0,0.6782719882352941
645,856064,418,1326,0.0010034344499217696,-1.0405164089053869,4170,-0.023551464080810547,0.2,0.023986956,0.154150390625,0.40775394439697266,0.015066764317452908,0.0003,0.0003250969195505604,9989.0,0.6782719882352941
645,858112,419,1329,0.0010700410007302708,-1.0493644524365664,4180,-0.023593783378601074,0.2,0.051283758,0.161572265625,0.4105004370212555,-0.010871468111872673,0.0003,0.004849936710525071,9989.0,0.6782719882352941
645,860160,420,1332,0.002377518876528484,-1.0580094523727894,4190,-9.226799011230469e-05,0.2,0.04547749,0.16357421875,0.4119301736354828,-0.04268978536128998,0.0003,-0.00527773434878327,9989.0,0.6718740000000001
645,862208,421,1335,0.001179649799814797,-1.0584664806723594,4200,0.019506633281707764,0.2,0.0145562105,0.139501953125,0.40894922614097595,0.0013607828877866268,0.0003,0.004268933332059533,9989.0,0.6718740000000001
645,864256,422,1338,0.000820850850232091,-1.0236572343856096,4210,-0.05352663993835449,0.2,0.09212522,0.184033203125,0.4007517695426941,-0.0005575411487370729,0.0003,0.01021085341781145,9989.0,0.6718740000000001
645,866304,423,1341,0.0017227768676093547,-1.000493374466896,4220,-0.005422353744506836,0.2,0.04664024,0.169775390625,0.3985670208930969,-0.012293467298150063,0.0003,-0.0007260878090164624,9989.0,0.6718740000000001
645,868352,424,1345,0.001390339297176979,-1.008145978488028,4230,-0.016952037811279297,0.2,0.046344165,0.1603515625,0.4029320776462555,-0.00881142821162939,0.0003,0.006919939255749341,9989.0,0.6718740000000001
645,870400,425,1348,0.0020802113474928776,-1.0289882745593786,4240,-0.0032508373260498047,0.2,0.028317168,0.168701171875,0.4055992364883423,-0.020221512764692307,0.0003,-0.0016584828597842715,9989.0,0.6599388850574713
645,872448,426,1351,0.0009141371087025618,-1.0242968156933785,4250,0.0016796588897705078,0.2,0.0969227,0.14296875,0.4030263423919678,0.013857529498636723,0.0003,0.007597112738585566,9989.0,0.6599388850574713
645,874496,427,1354,0.0012922481511850493,-1.0172275684773922,4260,-0.047542691230773926,0.2,0.2631626,0.164990234375,0.40200355648994446,0.04944220185279846,0.0003,0.03403596890566405,9989.0,0.6599388850574713
645,876544,428,1357,0.001236743404479057,-1.0211064130067826,4270,-0.011746048927307129,0.2,0.053105433,0.162255859375,0.40378129482269287,0.03398105129599571,0.0003,0.004132109109195881,9989.0,0.6599388850574713
