time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/std,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
3955,1131,585,2316288,51.53616454601288,23.31991195678711,-0.02620983123779297,0.22705078125,2.4636374317109584,0.0003,11300,0.2,0.07060428708791733,1.5670660650357605e-05,0.022155987,423.63184996,9989.0
3958,1132,585,2318336,37.87066097259522,13.743071556091309,0.012348830699920654,0.25419921875,2.4860531218349933,0.0003,11310,0.2,0.06920497864484787,0.003323370606813114,0.020556144,425.78240552000005,9989.0
3962,1133,585,2320384,50.42316078543663,24.602628707885742,0.012199342250823975,0.25849609375,2.5073465764522553,0.0003,11320,0.2,0.06904451549053192,0.005171634608268505,0.021631528,425.78240552000005,9989.0
3965,1134,585,2322432,47.160865616798404,24.791244506835938,0.009672760963439941,0.23896484375,2.4998489685356615,0.0003,11330,0.2,0.06967149674892426,0.005158705711073708,0.02464245,425.78240552000005,9989.0
3969,1135,585,2324480,51.6896817445755,33.55915451049805,0.012408912181854248,0.20849609375,2.482115314155817,0.0003,11340,0.2,0.07012462615966797,0.008048193494323641,0.015048371,425.78240552000005,9989.0
3972,1136,585,2326528,50.874815094470975,24.016357421875,-0.031807780265808105,0.216748046875,2.47993608340621,0.0003,11350,0.2,0.0698138177394867,0.0040988271503010765,0.016392872,425.78240552000005,9989.0
3975,1137,585,2328576,44.06723789572716,25.848556518554688,0.02774113416671753,0.215234375,2.4850615575909614,0.0003,11360,0.2,0.06994893401861191,0.00017106243758462368,0.017492037,426.46979441,9989.0
3979,1138,585,2330624,48.5408097922802,28.287761688232422,0.011137127876281738,0.18466796875,2.48431803509593,0.0003,11370,0.2,0.06972339004278183,0.004704242535808589,0.015079133,426.46979441,9989.0
3984,1139,585,2332672,44.09060552716255,24.265825271606445,0.009301304817199707,0.219677734375,2.492132753133774,0.0003,11380,0.2,0.06943893432617188,0.0036865917849354447,0.017714009,426.46979441,9989.0
3988,1140,585,2334720,55.97894328832626,27.82421875,-0.0011957883834838867,0.204443359375,2.514074172824621,0.0003,11390,0.2,0.06835715472698212,0.004505620457348414,0.02107726,426.46979441,9989.0
3991,1141,585,2336768,40.83673845529556,20.479490280151367,-0.03046560287475586,0.194140625,2.53857631534338,0.0003,11400,0.2,0.06761875003576279,0.0022696323969285,0.01748813,426.46979441,9989.0
