time,open,high,low,close,tick_volume,spread,real_volume
2022-08-05 11:00:00,1790.5,1790.72,1785.47,1787.36,4126,0,0
2022-08-05 12:00:00,1787.37,1788.08,1785.38,1786.6,3258,0,0
2022-08-05 13:00:00,1786.65,1786.89,1783.9,1785.22,3179,0,0
2022-08-05 14:00:00,1785.2,1788.58,1783.97,1787.88,3717,0,0
2022-08-05 15:00:00,1787.88,1789.25,1767.45,1769.11,8472,0,0
2022-08-05 16:00:00,1769.04,1775.2,1765.02,1775.0,10308,0,0
2022-08-05 17:00:00,1775.0,1779.16,1773.25,1777.92,8534,0,0
2022-08-05 18:00:00,1777.96,1778.0,1772.81,1773.76,6255,0,0
2022-08-05 19:00:00,1773.73,1775.34,1771.58,1774.36,4653,0,0
2022-08-05 20:00:00,1774.36,1776.08,1773.38,1775.08,4100,0,0
2022-08-05 21:00:00,1775.06,1776.0,1772.4,1772.7,3012,0,0
2022-08-05 22:00:00,1772.7,1775.38,1771.92,1773.6,3187,1,0
2022-08-05 23:00:00,1773.67,1775.69,1773.09,1775.42,1010,3,0
2022-08-08 01:00:00,1772.53,1775.11,1770.82,1773.87,1181,8,0
2022-08-08 02:00:00,1773.87,1775.16,1773.84,1774.63,883,7,0
2022-08-08 03:00:00,1774.63,1774.63,1771.16,1774.27,2542,3,0
2022-08-08 04:00:00,1774.27,1775.46,1773.55,1775.0,2744,8,0
2022-08-08 05:00:00,1775.0,1775.29,1773.58,1773.66,2174,8,0
2022-08-08 06:00:00,1773.66,1773.67,1771.92,1773.42,2110,4,0
2022-08-08 07:00:00,1773.45,1773.69,1771.66,1772.02,1185,9,0
2022-08-08 08:00:00,1772.01,1776.56,1771.39,1775.12,2272,2,0
2022-08-08 09:00:00,1775.12,1775.29,1773.32,1774.86,3626,0,0
2022-08-08 10:00:00,1774.8,1779.19,1774.52,1777.75,4526,0,0
2022-08-08 11:00:00,1777.75,1777.75,1772.58,1774.04,3748,0,0
2022-08-08 12:00:00,1774.04,1777.67,1772.96,1777.67,3292,0,0
2022-08-08 13:00:00,1777.67,1780.08,1776.36,1779.98,3673,0,0
2022-08-08 14:00:00,1779.98,1783.24,1779.8,1782.9,4080,0,0
2022-08-08 15:00:00,1782.9,1786.58,1781.36,1781.9,4976,0,0
2022-08-08 16:00:00,1781.9,1784.92,1780.67,1784.74,6873,0,0
2022-08-08 17:00:00,1784.72,1789.73,1782.98,1787.5,6370,0,0
2022-08-08 18:00:00,1787.6,1790.05,1786.16,1787.19,4809,0,0
2022-08-08 19:00:00,1787.22,1788.29,1785.7,1787.67,3828,0,0
2022-08-08 20:00:00,1787.68,1789.18,1787.08,1787.65,3093,0,0
2022-08-08 21:00:00,1787.72,1789.44,1786.46,1787.38,2789,0,0
2022-08-08 22:00:00,1787.34,1788.84,1787.05,1788.54,2277,0,0
2022-08-08 23:00:00,1788.54,1789.61,1788.28,1788.98,1200,3,0
2022-08-09 01:00:00,1788.82,1788.94,1788.22,1788.3,405,9,0
2022-08-09 02:00:00,1788.3,1790.8,1787.94,1789.26,990,6,0
2022-08-09 03:00:00,1789.22,1790.22,1788.07,1789.08,1995,9,0
