,time,open,high,low,close,tick_volume,spread,real_volume,account_balance
4859,2021-10-20 15:00:00,0.74812,0.74968,0.74812,0.74923,2310,0,0,10000
4860,2021-10-20 16:00:00,0.74924,0.75016,0.74879,0.74974,3151,0,0,10000
4861,2021-10-20 17:00:00,0.74975,0.7514,0.74916,0.75093,3426,0,0,10000
4862,2021-10-20 18:00:00,0.75094,0.7516,0.75074,0.75121,2898,0,0,10000
4863,2021-10-20 19:00:00,0.75122,0.75176,0.75103,0.75168,2191,0,0,10000
4864,2021-10-20 20:00:00,0.75168,0.75184,0.75061,0.75149,2822,0,0,10000
4865,2021-10-20 21:00:00,0.7515,0.75228,0.75136,0.75221,1693,0,0,10000
4866,2021-10-20 22:00:00,0.75222,0.75226,0.75175,0.75202,1829,0,0,10000
4867,2021-10-20 23:00:00,0.75205,0.75211,0.75126,0.75147,785,0,0,10000
4868,2021-10-21 00:00:00,0.75143,0.75178,0.75047,0.75152,386,5,0,10000
4869,2021-10-21 01:00:00,0.75152,0.75194,0.75135,0.75138,629,0,0,10000
4870,2021-10-21 02:00:00,0.75138,0.75218,0.75138,0.75151,623,0,0,10000
4871,2021-10-21 03:00:00,0.75151,0.75298,0.75151,0.75297,1516,0,0,10000
4872,2021-10-21 04:00:00,0.75295,0.75413,0.75272,0.754,1992,0,0,10000
4873,2021-10-21 05:00:00,0.75397,0.7545,0.75384,0.75422,1668,0,0,10000
4874,2021-10-21 06:00:00,0.75422,0.75464,0.75324,0.7533,1521,0,0,10000
4875,2021-10-21 07:00:00,0.75331,0.75338,0.75025,0.75081,3077,0,0,10000
4876,2021-10-21 08:00:00,0.75082,0.75112,0.74953,0.74975,2153,0,0,10000
4877,2021-10-21 09:00:00,0.74976,0.7508,0.7481,0.74856,2897,0,0,10000
4878,2021-10-21 10:00:00,0.74855,0.74945,0.74813,0.74915,2742,0,0,10000
4879,2021-10-21 11:00:00,0.74914,0.7493,0.7482,0.74875,2073,0,0,10000
4880,2021-10-21 12:00:00,0.74875,0.74892,0.74776,0.7489,1529,0,0,10000
4881,2021-10-21 13:00:00,0.7489,0.74912,0.74847,0.74897,1231,0,0,10000
4882,2021-10-21 14:00:00,0.74897,0.74976,0.74886,0.74936,1843,0,0,10000
