,time,open,high,low,close,tick_volume,spread,real_volume
3561,2020-08-05 09:00:00,75.859,75.971,75.83,75.97,4057,3,0
3562,2020-08-05 10:00:00,75.97,76.088,75.938,76.05,5008,3,0
3563,2020-08-05 11:00:00,76.05,76.097,75.95,76.092,5263,3,0
3564,2020-08-05 12:00:00,76.094,76.307,76.069,76.28,5172,3,0
3565,2020-08-05 13:00:00,76.282,76.35,76.23,76.296,4431,3,0
3566,2020-08-05 14:00:00,76.296,76.386,76.285,76.381,4129,3,0
3567,2020-08-05 15:00:00,76.381,76.407,76.231,76.254,6912,3,0
3568,2020-08-05 16:00:00,76.255,76.335,76.191,76.23,7506,3,0
3569,2020-08-05 17:00:00,76.231,76.248,76.147,76.206,7109,3,0
3570,2020-08-05 18:00:00,76.206,76.254,76.068,76.077,4687,3,0
3571,2020-08-05 19:00:00,76.077,76.114,76.006,76.017,3516,3,0
3572,2020-08-05 20:00:00,76.017,76.027,75.916,75.957,2203,3,0
3573,2020-08-05 21:00:00,75.957,75.989,75.934,75.964,2116,3,0
3574,2020-08-05 22:00:00,75.964,76.003,75.941,75.96,1675,3,0
3575,2020-08-05 23:00:00,75.96,75.96,75.909,75.933,1315,3,0
3576,2020-08-06 00:00:00,75.938,75.958,75.86,75.94,351,17,0
3577,2020-08-06 01:00:00,75.946,76.033,75.926,76.02,863,6,0
3578,2020-08-06 02:00:00,76.022,76.065,75.972,75.978,1095,3,0
3579,2020-08-06 03:00:00,75.981,76.132,75.966,76.073,3689,3,0
3580,2020-08-06 04:00:00,76.071,76.102,75.941,75.963,3357,3,0
3581,2020-08-06 05:00:00,75.964,75.965,75.834,75.84,3420,3,0
3582,2020-08-06 06:00:00,75.839,75.985,75.835,75.959,2308,3,0
3583,2020-08-06 07:00:00,75.959,75.997,75.937,75.987,1767,3,0
3584,2020-08-06 08:00:00,75.987,76.034,75.95,75.97,2894,3,0
3585,2020-08-06 09:00:00,75.971,76.059,75.872,75.913,6821,3,0
3586,2020-08-06 10:00:00,75.913,75.941,75.824,75.898,6730,3,0
3587,2020-08-06 11:00:00,75.898,75.928,75.834,75.914,5310,3,0
3588,2020-08-06 12:00:00,75.914,75.981,75.907,75.939,4157,3,0
3589,2020-08-06 13:00:00,75.939,75.954,75.755,75.782,3895,3,0
3590,2020-08-06 14:00:00,75.782,75.784,75.661,75.69,4527,3,0
3591,2020-08-06 15:00:00,75.691,75.973,75.685,75.962,5159,3,0
3592,2020-08-06 16:00:00,75.962,76.06,75.857,76.057,6123,3,0
3593,2020-08-06 17:00:00,76.058,76.211,75.929,76.163,9016,3,0
3594,2020-08-06 18:00:00,76.165,76.258,76.093,76.258,6172,3,0
3595,2020-08-06 19:00:00,76.259,76.32,76.22,76.319,4802,3,0
3596,2020-08-06 20:00:00,76.319,76.324,76.25,76.258,2890,3,0
3597,2020-08-06 21:00:00,76.258,76.397,76.24,76.375,2899,3,0
3598,2020-08-06 22:00:00,76.374,76.436,76.345,76.4,3587,3,0
