time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4190208,694,6033,2046,0.0003,0.3483641743659973,0.09775390625,16.688316345214844,-0.7301635352894664,-0.005700743311899714,27.902191907167435,0.010431521,-0.000841975212097168,0.2,20450,3625.8219500100004,9989.0
4192256,694,6036,2047,0.0003,0.34989428520202637,0.07919921875,13.734837532043457,-0.7320414837449789,-0.0008464857201033738,39.22089210152626,0.010058391,0.008093655109405518,0.2,20460,3625.8219500100004,9989.0
4194304,694,6038,2048,0.0003,0.3496202826499939,0.153466796875,0.11661399900913239,-0.7397843651473522,-0.01058669865669799,0.3652937189675868,0.01617786,-12.06470012664795,0.2,20470,3625.8219500100004,9989.0
4196352,694,6042,2049,0.0003,0.35421282052993774,0.132861328125,5.604555606842041,-0.7490985002368689,-0.010790241723589134,8.757180152647198,0.012680239,0.11964833736419678,0.2,20480,3631.3401777900003,9989.0
4198400,694,6045,2050,0.0003,0.35195666551589966,0.06982421875,15.027507781982422,-0.7572571037337184,-0.0026575785494060257,41.32217127084732,0.009923632,-0.0009100437164306641,0.2,20490,3631.3401777900003,9989.0
4200448,694,6048,2051,0.0003,0.3532103896141052,0.13115234375,5.0183424949646,-0.750325266085565,-0.006221092712075915,13.921526442468167,0.011489937,0.010171294212341309,0.2,20500,3631.3401777900003,9989.0
4202496,694,6051,2052,0.0003,0.35392242670059204,0.1162109375,24.3212947845459,-0.7572615349665284,-0.0006054656187188812,39.92429586648941,0.005382519,0.0027080178260803223,0.2,20510,3631.3401777900003,9989.0
4204544,694,6053,2053,0.0003,0.3552563190460205,0.12294921875,0.0449879989027977,-0.7642257636412978,-0.007595962376217358,0.3296883030619938,0.011074362,-12.865228652954102,0.2,20520,3631.3401777900003,9989.0
4206592,694,6056,2054,0.0003,0.3548167943954468,0.108740234375,14.82593059539795,-0.7637501876801253,-0.008267769793746993,33.95510183572769,0.012515714,0.04786205291748047,0.2,20530,3629.4260277899994,9989.0
4208640,694,6059,2055,0.0003,0.35220158100128174,0.119189453125,1.9209554195404053,-0.7527309883385896,0.0010280807939125225,17.17641773298383,0.009713533,0.010647296905517578,0.2,20540,3629.4260277899994,9989.0
4210688,694,6062,2056,0.0003,0.3559907078742981,0.155078125,0.01563156582415104,-0.7584988798946142,-0.007515389543550554,0.25520152841054367,0.010564402,-8.049681663513184,0.2,20550,3629.4260277899994,9989.0
4212736,694,6064,2057,0.0003,0.35431545972824097,0.1060546875,10.122740745544434,-0.7620311722159385,-0.0020124481423408726,30.403313818573952,0.010259118,0.002429783344268799,0.2,20560,3629.4260277899994,9989.0
4214784,694,6067,2058,0.0003,0.35792291164398193,0.1369140625,14.331572532653809,-0.7655444793403149,-0.006392724449688103,18.542823603749277,0.012915216,-0.007420897483825684,0.2,20570,3629.4260277899994,9989.0
4216832,694,6070,2059,0.0003,0.35668063163757324,0.0892578125,15.609856605529785,-0.7737077018246055,-0.006012200732948258,32.59060521423817,0.008255472,0.046656668186187744,0.2,20580,3632.4069889,9989.0
4218880,694,6073,2060,0.0003,0.35887759923934937,0.115185546875,4.211201190948486,-0.7754844635725021,0.0007552649651188404,15.882942283898592,0.010865125,0.015007078647613525,0.2,20590,3632.4069889,9989.0
4220928,694,6075,2061,0.0003,0.35940277576446533,0.148095703125,9.548172950744629,-0.7837676130235195,-0.003848298729280941,12.198860638961197,0.011961868,-0.004341721534729004,0.2,20600,3632.4069889,9989.0
4222976,694,6078,2062,0.0003,0.36031806468963623,0.118115234375,15.852394104003906,-0.7886386878788472,-0.0012954425532370807,33.54830872416496,0.007975692,-0.0032330751419067383,0.2,20610,3632.4069889,9989.0
4225024,694,6081,2063,0.0003,0.3705027103424072,0.146728515625,0.039427995681762695,-0.8195120707154274,-0.01159718190174317,0.28106347830034795,0.019627418,-4.233211517333984,0.2,20620,3632.4069889,9989.0
4227072,694,6083,2064,0.0003,0.3736664950847626,0.139404296875,12.546551704406738,-0.8539689445868135,-0.009359547273197677,11.581081038340926,0.013845773,0.1016547679901123,0.2,20630,3642.55296112,9989.0
4229120,694,6087,2065,0.0003,0.3756241202354431,0.189794921875,5.829470634460449,-0.8672495840117336,-0.00436372477288387,10.68990958831273,0.01231478,0.004772961139678955,0.2,20640,3642.55296112,9989.0
4231168,694,6090,2066,0.0003,0.37872597575187683,0.148193359375,1.2687616348266602,-0.8766768056899309,-0.0023385705520922785,9.654143904335797,0.009268595,-0.0049130916595458984,0.2,20650,3642.55296112,9989.0
4233216,694,6092,2067,0.0003,0.3811321556568146,0.054150390625,23.438735961914062,-0.8919043887406588,-0.001875694061163813,48.22823353409767,0.004668303,0.002851128578186035,0.2,20660,3642.55296112,9989.0
4235264,694,6096,2068,0.0003,0.3794185519218445,0.084814453125,10.490571022033691,-0.8927112219855189,-0.005439597398799378,31.217479780316353,0.014357401,0.0017815828323364258,0.2,20670,3642.55296112,9989.0
4237312,694,6098,2069,0.0003,0.37928998470306396,0.077001953125,13.168176651000977,-0.8897285236045718,-0.003612557187443599,24.440723589062692,0.0055035017,0.07376205921173096,0.2,20680,3648.6889388999994,9989.0
4239360,694,6102,2070,0.0003,0.3755953311920166,0.12333984375,9.654425621032715,-0.8772344425320625,-0.0018216760552604682,17.643691117316486,0.011644187,0.010657012462615967,0.2,20690,3648.6889388999994,9989.0
4241408,694,6105,2071,0.0003,0.3778038024902344,0.072412109375,11.86752700805664,-0.8752045150846243,-0.0017126179518527351,29.727741718292236,0.009873955,0.023002266883850098,0.2,20700,3648.6889388999994,9989.0
4243456,694,6107,2072,0.0003,0.3822858929634094,0.12099609375,13.560619354248047,-0.8948240347206593,-0.003296845988370478,27.03954980149865,0.0130695235,-0.0567549467086792,0.2,20710,3648.6889388999994,9989.0
4245504,694,6110,2073,0.0003,0.38317111134529114,0.084375,31.646909713745117,-0.9095458164811134,-0.0016707220958778635,46.455233907699586,0.0065356498,0.017476141452789307,0.2,20720,3649.8506389,9989.0
4247552,694,6113,2074,0.0003,0.3840315341949463,0.11923828125,12.057823181152344,-0.9128761285915971,-0.007842475654615554,36.60925067663193,0.009434271,0.03297907114028931,0.2,20730,3649.8506389,9989.0
4249600,694,6116,2075,0.0003,0.38411659002304077,0.170947265625,4.712666034698486,-0.9172490499913692,-0.008736997524101753,9.699484053254128,0.023588149,0.018702983856201172,0.2,20740,3649.8506389,9989.0
4251648,694,6118,2076,0.0003,0.38846078515052795,0.116796875,9.257621765136719,-0.9326265025883913,-0.0020346837409306318,28.01193753629923,0.008013683,0.01602274179458618,0.2,20750,3649.8506389,9989.0
4253696,694,6121,2077,0.0003,0.3881244659423828,0.15859375,24.81589126586914,-0.9403397472575307,-0.0042533048777841035,28.465755058825017,0.011530511,-0.03423941135406494,0.2,20760,3649.8506389,9989.0
4255744,694,6124,2078,0.0003,0.38727521896362305,0.092041015625,16.931982040405273,-0.9367805311456323,-0.002385527512524277,32.892484879493715,0.006322424,0.013152599334716797,0.2,20770,3655.4666611200005,9989.0
4257792,694,6127,2079,0.0003,0.38527825474739075,0.115625,16.981197357177734,-0.9298982126638293,-0.008649380443966948,40.50527535378933,0.0085428525,0.0493626594543457,0.2,20780,3655.4666611200005,9989.0
4259840,694,6130,2080,0.0003,0.3873457610607147,0.224755859375,4.614192962646484,-0.9284774657338858,0.00036004171197419056,12.206438972055912,0.010505313,-0.02087092399597168,0.2,20790,3655.4666611200005,9989.0
4261888,694,6133,2081,0.0003,0.38857126235961914,0.081396484375,21.159353256225586,-0.9385505028069019,-0.0017895947603392415,41.18290866017342,0.005490287,0.00926119089126587,0.2,20800,3655.4666611200005,9989.0
4263936,694,6135,2082,0.0003,0.38406482338905334,0.1763671875,1.1936043500900269,-0.9304532788693904,-0.0048788033032906245,7.367735491041094,0.014061312,-0.06891405582427979,0.2,20810,3655.4666611200005,9989.0
4265984,694,6138,2083,0.0003,0.38635945320129395,0.141259765625,6.61488151550293,-0.9234858442097902,-0.00873878848651657,14.254637427255512,0.015588468,0.0837244987487793,0.2,20820,3662.93632779,9989.0
4268032,694,6141,2084,0.0003,0.3831138610839844,0.09912109375,18.73732566833496,-0.9199568251147866,-0.00396101922087837,37.06354720592499,0.012131439,0.038567304611206055,0.2,20830,3662.93632779,9989.0
4270080,694,6144,2085,0.0003,0.3893706202507019,0.133056640625,10.404128074645996,-0.930477611720562,-0.0013748658777331002,11.926205454207956,0.01282852,-0.00047266483306884766,0.2,20840,3662.93632779,9989.0
4272128,695,6146,2086,0.0003,0.39337992668151855,0.08115234375,17.280046463012695,-0.9587763048708439,-0.0011465543080703355,31.973835769295693,0.0068680034,0.010380744934082031,0.2,20850,3662.93632779,9989.0
4274176,695,6149,2087,0.0003,0.3959396481513977,0.120947265625,7.267569065093994,-0.9732071682810783,-0.001913022867665859,15.054459886811674,0.010581102,-0.04699075222015381,0.2,20860,3662.93632779,9989.0
4276224,695,6152,2088,0.0003,0.395552396774292,0.07666015625,24.320178985595703,-0.975262027233839,-0.006421583646442741,36.580164045095444,0.010814233,0.03417694568634033,0.2,20870,3667.4187666800008,9989.0
4278272,695,6155,2089,0.0003,0.39089566469192505,0.1263671875,6.667205333709717,-0.9626487012952566,-2.8494148864410816e-06,25.315314719080924,0.011619227,0.005860686302185059,0.2,20880,3667.4187666800008,9989.0
