time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates
3797,1072,1.66196289,1071.0,1989,4073472,0.0003,0.35151416063308716,0.08692483603954315,2.055121149122715,0.004077018301177304,0.04315762,0.2,0.36064453125,0.006188274826854467,0.0015700205078246654,19880
3799,1072,1.6655874100000003,1071.0,1990,4075520,0.0003,0.3584580421447754,0.08622816950082779,2.0589502699673177,0.006803427475824719,0.051178854,0.2,0.33642578125,-0.025025445967912674,0.0014985122177677112,19890
3801,1072,1.6639764500000005,1071.0,1991,4077568,0.0003,0.37360620498657227,0.08570032566785812,2.0734290927648544,0.007116910142940469,0.046085343,0.2,0.31494140625,0.038704343140125275,0.0015293804006432765,19900
3803,1072,1.65927602,1071.0,1992,4079616,0.0003,0.36472535133361816,0.0862160250544548,2.0734849885106086,0.0074197468478814695,0.0436217,0.2,0.33134765625,0.02795923687517643,0.0014318882202132954,19910
3804,1072,1.6556122500000001,1071.0,1993,4081664,0.0003,0.36237460374832153,0.08801163733005524,2.0434773162007334,0.00895705274597276,0.037325617,0.2,0.361962890625,-0.008663084357976913,0.0014350078672578093,19920
3806,1072,1.6535147000000001,1071.0,1994,4083712,0.0003,0.36993205547332764,0.0877603068947792,2.0307257123291493,0.002891231303510722,0.042587347,0.2,0.3345703125,0.007632657885551453,0.001423080809036037,19930
3808,1072,1.6585752400000002,1071.0,1995,4085760,0.0003,0.28056490421295166,0.08736125379800797,2.03789569735527,0.0036576038757630156,0.045238737,0.2,0.305419921875,0.005184585228562355,0.0013276940871946863,19940
3810,1072,1.66434056,1071.0,1996,4087808,0.0003,0.3429005742073059,0.08794601261615753,2.033127436041832,0.006244029813387897,0.036157146,0.2,0.321142578125,0.019431831315159798,0.0015007247928224387,19950
3811,1072,1.66718031,1071.0,1997,4089856,0.0003,0.3631060719490051,0.08796954154968262,2.0260473102331162,0.004825667939439881,0.03815952,0.2,0.32099609375,-0.011743091978132725,0.0013706788231502287,19960
3813,1072,1.66979823,1071.0,1998,4091904,0.0003,0.36598706245422363,0.08875167369842529,2.0200610511004924,0.004961611546605127,0.031331036,0.2,0.30869140625,0.03455046936869621,0.0013497307980287587,19970
3815,1072,1.6730552500000004,1071.0,1999,4093952,0.0003,0.3571566343307495,0.0879082977771759,2.0183161668479443,0.006581265333807096,0.045621052,0.2,0.3525390625,0.017214307561516762,0.0014298993364718626,19980
3817,1072,1.67186111,1071.0,2000,4096000,0.0003,0.371906042098999,0.08706176280975342,2.0417140081524847,0.005832952917262446,0.034950454,0.2,0.327197265625,-0.0006000159773975611,0.001332094288591179,19990
3819,1073,1.6765355400000004,1071.0,2001,4098048,0.0003,0.344235897064209,0.08687186241149902,2.0485794976353646,0.005783581046853214,0.03738599,0.2,0.312060546875,-0.007058897987008095,0.001450115091392945,20000
3820,1073,1.6804378600000005,1071.0,2002,4100096,0.0003,0.36060023307800293,0.08703909069299698,2.0506118930876256,0.006345203462115023,0.035924256,0.2,0.320703125,0.0005245241336524487,0.0014916442767571425,20010
3822,1073,1.68033118,1071.0,2003,4102144,0.0003,0.35791492462158203,0.08789358288049698,2.0372430093586447,0.006932157288247254,0.044429928,0.2,0.3396484375,-0.017600558698177338,0.0014907637654687279,20020
3824,1073,1.6809435,1071.0,2004,4104192,0.0003,0.37527841329574585,0.08809198439121246,2.024825133383274,0.006622205846360885,0.041787043,0.2,0.33525390625,-0.010394112206995487,0.0015155304414292913,20030
3826,1073,1.6819333000000003,1071.0,2005,4106240,0.0003,0.35710471868515015,0.088237464427948,2.023687467724085,0.012003583530895413,0.054584898,0.2,0.34951171875,0.02238302491605282,0.0015427395101141883,20040
3829,1072,1.6852600200000003,1071.0,2006,4108288,0.0003,0.3080531358718872,0.08832556754350662,2.01977878510952,0.005358926190820057,0.04052929,0.2,0.3201171875,0.007099631708115339,0.0013824276264131185,20050
3831,1072,1.69342081,1071.0,2007,4110336,0.0003,0.3538056015968323,0.0885518491268158,2.0187821984291077,0.0038952429094933905,0.035715085,0.2,0.324609375,-0.0054032630287110806,0.0012544048324343749,20060
3833,1072,1.69500179,1071.0,2008,4112384,0.0003,0.36853933334350586,0.08812292665243149,2.0172556169331073,0.006126903295808006,0.03960596,0.2,0.360791015625,-0.022321848198771477,0.001394127105231746,20070
3835,1072,1.70157124,1071.0,2009,4114432,0.0003,0.3558279275894165,0.08782975375652313,2.0275142908096315,0.009416790471004789,0.03651274,0.2,0.329248046875,-0.010412408038973808,0.001372596513465396,20080
3837,1072,1.7020896600000004,1071.0,2010,4116480,0.0003,0.3606075048446655,0.08928416669368744,2.0138860188424585,0.0010561858929577284,0.043042973,0.2,0.34482421875,-0.005236115772277117,0.0013895850655899268,20090
3839,1072,1.7068354700000004,1071.0,2011,4118528,0.0003,0.3505300283432007,0.09025004506111145,1.9878954093903303,0.00544594391976716,0.046060726,0.2,0.343359375,0.03507983312010765,0.00154560097544163,20100
3841,1072,1.7139162200000002,1071.0,2012,4120576,0.0003,0.3512040972709656,0.09105140715837479,1.967833661660552,0.004206154649727978,0.036109067,0.2,0.319189453125,0.014368390664458275,0.0015211748897854705,20110
3843,1072,1.7188478699999998,1071.0,2013,4122624,0.0003,0.34613537788391113,0.09077354520559311,1.9630100172013045,0.003951863310066983,0.03646934,0.2,0.28984375,0.014200136065483093,0.0015775051468153833,20120
3845,1072,1.71964541,1071.0,2014,4124672,0.0003,0.3547060489654541,0.09096696227788925,1.9661597561091184,-0.00011357818511896767,0.044115447,0.2,0.31884765625,0.02003222145140171,0.0015296536332243705,20130
3847,1072,1.72767441,1071.0,2015,4126720,0.0003,0.35685718059539795,0.09113957732915878,1.964923358336091,0.00886906428349903,0.032753073,0.2,0.32841796875,0.0016117283375933766,0.0014672396448077052,20140
3849,1072,1.73650511,1071.0,2016,4128768,0.0003,0.3749462366104126,0.09177234023809433,1.955400825664401,0.005812399171554716,0.045391303,0.2,0.31962890625,0.04308450222015381,0.0014562455902705552,20150
3852,1072,1.74149722,1071.0,2017,4130816,0.0003,0.3582920432090759,0.09150213748216629,1.9530898783355952,-0.0014017636203789152,0.038147997,0.2,0.32509765625,-0.01406995952129364,0.00155962498865847,20160
3854,1072,1.74538128,1071.0,2018,4132864,0.0003,0.2868154048919678,0.09140105545520782,1.9520841244608165,0.008016364998184144,0.044966027,0.2,0.34775390625,0.05112070590257645,0.0013033820530836237,20170
3856,1072,1.74208937,1071.0,2019,4134912,0.0003,0.2525418996810913,0.09133459627628326,1.95818380266428,0.0043206358823226765,0.03958866,0.2,0.33662109375,-0.04672200605273247,0.001518622684670845,20180
3858,1072,1.7440255000000002,1071.0,2020,4136960,0.0003,0.3202064037322998,0.09273818135261536,1.9422202210873365,0.0019392781759961508,0.035495996,0.2,0.325146484375,-0.007173413410782814,0.0015415609939736896,20190
3861,1071,1.74757087,1071.0,2021,4139008,0.0003,0.3525310754776001,0.09209155291318893,1.9354663655161857,1.873118453659117e-05,0.04420162,0.2,0.330712890625,0.022411106154322624,0.0015282903803381486,20200
3863,1071,1.74546537,1071.0,2022,4141056,0.0003,0.33817291259765625,0.09168948233127594,1.9440002705901862,0.002946041218820028,0.04315946,0.2,0.35302734375,-0.01615053042769432,0.0015528562213148688,20210
3865,1071,1.7485455899999998,1071.0,2023,4143104,0.0003,0.21293550729751587,0.09128985553979874,1.9544514629989862,0.00812990990743856,0.03600578,0.2,0.340771484375,-0.014602536335587502,0.0013625398667500121,20220
3867,1071,1.7581099199999997,1071.0,2024,4145152,0.0003,0.2631654143333435,0.0914161205291748,1.9550517339259386,0.0038505257020005957,0.03981053,0.2,0.33798828125,0.00036346830893307924,0.0014379498541529756,20230
3870,1071,1.7591757399999997,1071.0,2025,4147200,0.0003,0.2853688597679138,0.09081976115703583,1.9593687295913695,0.0033908020981471055,0.037032597,0.2,0.32978515625,0.03511688485741615,0.0014319544608952129,20240
