time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
5799936,658,8801,2832,28310,1.1261941514909268,-0.0486835241317749,0.044041403,0.275927734375,0.2,4.800141322612762,0.009775162616278976,0.0003,0.022232629358768463,0.6495712995529175,9989.0,-2075.5586902000005
5801984,658,8804,2833,28320,0.6700881734956056,-0.18030023574829102,0.0829937,0.39443359375,0.2,4.795322149991989,0.014633606233110186,0.0003,0.022428246214985847,0.1796843558549881,9989.0,-2075.5586902000005
5804032,658,8807,2834,28330,1.0544399314559996,-0.050060391426086426,0.060733356,0.34072265625,0.2,4.776406364142895,0.019833616569667357,0.0003,0.022584695369005203,0.30464476346969604,9989.0,-2125.23940739
5806080,659,8810,2835,28340,32.56058650314808,0.010885238647460938,0.06643582,0.284326171875,0.2,4.780235897004604,0.007305244158487767,0.0003,0.022416461259126663,12.12866497039795,9989.0,-2125.23940739
5808128,659,8813,2836,28350,14.744291105866433,-0.014390110969543457,0.07505062,0.2859375,0.2,4.778365390002728,0.006562686331744771,0.0003,0.02251945063471794,3.844420909881592,9989.0,-2125.23940739
5810176,659,8815,2837,28360,1.7252594269812107,-0.014000296592712402,0.033246957,0.24921875,0.2,4.77657423466444,0.006720048851275351,0.0003,0.022528506815433502,0.8648887276649475,9989.0,-2125.23940739
5812224,659,8818,2838,28370,1.4458914123475552,-0.10608232021331787,0.056834698,0.336083984375,0.2,4.775783942639828,0.018632799964689185,0.0003,0.022405032068490982,0.6813744902610779,9989.0,-2125.23940739
5814272,659,8821,2839,28380,1.1278261506929994,-0.09070050716400146,0.041051976,0.338818359375,0.2,4.779316999018192,0.01448381985683227,0.0003,0.02236579731106758,0.44809430837631226,9989.0,-2164.0884842999994
5816320,659,8825,2840,28390,44.81975592970848,0.01833665370941162,0.04827454,0.35615234375,0.2,4.785467706620693,0.018021048764057922,0.0003,0.02222011610865593,22.712820053100586,9989.0,-2164.0884842999994
5818368,659,8828,2841,28400,11.019679261744022,-0.022388935089111328,0.07686951,0.2900390625,0.2,4.8014142766594885,0.006666101269365754,0.0003,0.022036490961909294,4.785738468170166,9989.0,-2164.0884842999994
5820416,659,8831,2842,28410,2.081520429998636,-0.018380284309387207,0.03883455,0.25498046875,0.2,4.810391417145729,0.010100022968254052,0.0003,0.02200639620423317,1.3395209312438965,9989.0,-2164.0884842999994
5822464,659,8835,2843,28420,1.6001753522083164,-0.08951270580291748,0.037979156,0.319873046875,0.2,4.815722790360451,0.019833094460773283,0.0003,0.022000085562467575,0.5087389349937439,9989.0,-2164.0884842999994
5824512,659,8837,2844,28430,1.2695961948484182,-0.1039876937866211,0.08882919,0.360791015625,0.2,4.810510604083538,0.005411596430349164,0.0003,0.02210855484008789,0.5244112610816956,9989.0,-2197.0706078599997
5826560,659,8840,2845,28440,56.069983625411986,0.011822819709777832,0.025037669,0.3041015625,0.2,4.797058422863484,0.01445140748983249,0.0003,0.02224990725517273,25.653446197509766,9989.0,-2197.0706078599997
5828608,659,8843,2846,28450,11.29257037639618,-0.03554224967956543,0.062518306,0.30419921875,0.2,4.800352257490158,0.009376209517358802,0.0003,0.022108566015958786,5.231893539428711,9989.0,-2197.0706078599997
5830656,659,8846,2847,28460,1.865360950306058,-0.031926751136779785,0.02571186,0.26083984375,0.2,4.800943534076214,0.011852248242939822,0.0003,0.022190671414136887,0.9058999419212341,9989.0,-2197.0706078599997
5832704,659,8849,2848,28470,1.851622136682272,-0.05219566822052002,0.07003948,0.3421875,0.2,4.798132127523422,0.021463170256902232,0.0003,0.02217920869588852,0.8032079339027405,9989.0,-2197.0706078599997
