rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate
1071.0,1034,1.97550029,428032,209,413,0.002107433506716916,-0.008281287713907659,0.3074360191822052,0.2,0.3889193534851074,-0.38436812022700906,0.015682407,-0.014460340142250061,0.19931640625,2080,0.0003
1071.0,1035,1.99313135,430080,210,415,0.0018637509294421762,-0.008964421457494608,0.3092309236526489,0.2,0.4056968092918396,-0.3836317090317607,0.017415952,0.005169068928807974,0.2107421875,2090,0.0003
1071.0,1035,2.01624533,432128,211,417,0.0021439971709696693,-0.008993266479228624,0.3077842593193054,0.2,0.39790672063827515,-0.38729525087401273,0.01835434,0.01569218561053276,0.212158203125,2100,0.0003
1071.0,1036,2.03277428,434176,212,419,0.002164248200097063,-0.0055701797362416984,0.30819955468177795,0.2,0.3798784017562866,-0.37558125853538515,0.015308917,-0.006172194145619869,0.19375,2110,0.0003
1071.0,1036,2.0466226099999996,436224,213,420,0.0020322107593528926,-0.0057157734641805295,0.3074917793273926,0.2,0.3859190344810486,-0.3743422655388713,0.01543778,-0.03054337576031685,0.198583984375,2120,0.0003
1071.0,1037,2.07188516,438272,214,422,0.0021807329230796313,-0.006799972265434917,0.30906063318252563,0.2,0.38957786560058594,-0.3778360212221742,0.01875227,0.022762296721339226,0.215673828125,2130,0.0003
1071.0,1037,2.08867067,440320,215,424,0.0018873015338613185,-0.007303096623218153,0.30919355154037476,0.2,0.36254358291625977,-0.37897838838398457,0.014868731,-0.03865637257695198,0.184912109375,2140,0.0003
1071.0,1037,2.10295213,442368,216,426,0.002188250012113713,-0.004245495446957648,0.30524104833602905,0.2,0.37426525354385376,-0.36675205575302244,0.01756286,-0.024898236617445946,0.1998046875,2150,0.0003
1071.0,1038,2.1068339399999996,444416,217,427,0.0019721919727089697,-0.008542144908278714,0.3061816096305847,0.2,0.3856278657913208,-0.35772610623389484,0.020005696,-0.030761241912841797,0.192138671875,2160,0.0003
1071.0,1038,2.1184970699999996,446464,218,429,0.0017430970725399674,-0.004121330911584664,0.306271493434906,0.2,0.3244321942329407,-0.3574864978902042,0.019289453,-0.01341715082526207,0.188818359375,2170,0.0003
1071.0,1038,2.1281986799999997,448512,219,431,0.001872240862394392,-0.010895457991864532,0.30143803358078003,0.2,0.3938486576080322,-0.3387328547425568,0.022879958,0.010985693894326687,0.212451171875,2180,0.0003
1071.0,1039,2.1407742799999996,450560,220,433,0.0019744409046325018,-0.007194185623666272,0.29848572611808777,0.2,0.3944483995437622,-0.31178186694160104,0.019851897,-0.013901690021157265,0.20244140625,2190,0.0003
1071.0,1039,2.1506429899999997,452608,221,435,0.0017468681775426377,-0.0075128842305275615,0.29654741287231445,0.2,0.3936837315559387,-0.28844911623746156,0.021316024,0.0015115472488105297,0.2107421875,2200,0.0003
