time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/learning_rate
7970816,3892,1.70029551,8974,888,1071.0,0.0009011461902446172,0.24787479639053345,0.005059991574671585,0.04002016,-0.040584806352853775,2.4756241239607335,38910,0.2,0.0710359439253807,0.30966796875,0.0003
7972864,3893,1.6991778599999998,8977,888,1071.0,0.0009457593610022741,0.29887813329696655,0.003643469177768566,0.04106322,0.012132881209254265,2.4764808669686316,38920,0.2,0.07080888748168945,0.294677734375,0.0003
7974912,3894,1.7034142500000002,8979,888,1071.0,0.0009382474101585104,0.2816769480705261,0.005517782850074582,0.061447836,8.028329466469586e-05,2.4760693319141867,38930,0.2,0.07113545387983322,0.35244140625,0.0003
7976960,3895,1.70580307,8981,888,1071.0,0.0009765590461029205,0.28630197048187256,0.0062719890614971515,0.040520877,0.06773720681667328,2.4691300369799136,38940,0.2,0.07133389264345169,0.311865234375,0.0003
7979008,3896,1.70998448,8983,888,1071.0,0.0009036187050696753,0.28260552883148193,0.0052610468934290115,0.0489491,-0.005165101494640112,2.458278313279152,38950,0.2,0.07197744399309158,0.314990234375,0.0003
7981056,3897,1.70877271,8986,888,1071.0,0.000882660484603548,0.29487431049346924,0.006596627520048059,0.05289489,-0.012530525214970112,2.455154948681593,38960,0.2,0.0717131644487381,0.3421875,0.0003
7983104,3898,1.7112712300000001,8988,888,1071.0,0.0008204983960240497,0.29914212226867676,0.007621246832422912,0.054335512,0.02084040828049183,2.4614232294261456,38970,0.2,0.07149279117584229,0.319775390625,0.0003
7985152,3899,1.71593387,8990,888,1071.0,0.000974899802076834,0.29966986179351807,0.003317688418610487,0.05278066,0.03665332496166229,2.455867458879948,38980,0.2,0.0720001682639122,0.2974609375,0.0003
7987200,3900,1.7184736200000001,8993,888,1071.0,0.0008570281675929437,0.28191035985946655,0.0026290629408322274,0.05455308,0.05858612060546875,2.450894358754158,38990,0.2,0.07204164564609528,0.31884765625,0.0003
7989248,3901,1.71970799,8995,888,1071.0,0.0009964206805307186,0.2908412218093872,0.0101032518883585,0.03668017,-0.008605393581092358,2.4639871388673784,39000,0.2,0.0712357610464096,0.34736328125,0.0003
7991296,3902,1.72475922,8997,888,1071.0,0.0008956857333032531,0.3067395091056824,0.007210052345180884,0.03760246,-0.018355943262577057,2.4768090561032294,39010,0.2,0.07085433602333069,0.341845703125,0.0003
7993344,3903,1.72589473,9000,888,1071.0,0.0008823961325106211,0.29063743352890015,0.005743519339011982,0.05003979,-0.003030786756426096,2.4834810741245748,39020,0.2,0.07080723345279694,0.32138671875,0.0003
7995392,3904,1.72884705,9002,888,1071.0,0.0007873748733800312,0.23367559909820557,0.00936179180862382,0.05015146,-0.02198518067598343,2.49295139759779,39030,0.2,0.07028740644454956,0.338818359375,0.0003
7997440,3905,1.7313037399999995,9004,888,1071.0,0.0009339940779682365,0.2797214984893799,0.007667626606416888,0.045354486,0.04774674028158188,2.507172159105539,39040,0.2,0.06970195472240448,0.3126953125,0.0003
7999488,3906,1.7345838199999997,9006,888,1071.0,0.0009960646155377617,0.2863242030143738,0.005862703692400828,0.035100743,-0.017393186688423157,2.5152340345084667,39050,0.2,0.06956038624048233,0.304052734375,0.0003
8001536,3907,1.7334109999999998,9009,888,1071.0,0.0009339363367871556,0.28673750162124634,0.0036413877358427273,0.033409514,0.022044043987989426,2.5236463725566862,39060,0.2,0.06900560855865479,0.314404296875,0.0003
8003584,3908,1.73327709,9011,888,1071.0,0.0009171993841846415,0.2945873737335205,0.009823676958330908,0.03632685,0.026679376140236855,2.529708793014288,39070,0.2,0.06899856775999069,0.333984375,0.0003
8005632,3909,1.7330282399999999,9013,888,1071.0,0.0009883554932457628,0.27447229623794556,0.009097154106711969,0.046386875,0.05984386056661606,2.5274342887103556,39080,0.2,0.06922914832830429,0.3361328125,0.0003
8007680,3910,1.73853499,9016,888,1071.0,0.0009233195183696808,0.29032015800476074,0.006072431438951753,0.049587555,0.014054926112294197,2.5293164320290087,39090,0.2,0.06870491057634354,0.328564453125,0.0003
8009728,3911,1.7440064500000003,9018,888,1071.0,0.0009391904230142245,0.28753310441970825,0.004508107915171422,0.045304656,-0.031236892566084862,2.5303549066185953,39100,0.2,0.06947038322687149,0.3310546875,0.0003
8011776,3912,1.7468678499999999,9020,888,1071.0,0.0009284206402298878,0.3002333641052246,0.005565344943897798,0.042983003,-0.008030738681554794,2.521923426538706,39110,0.2,0.06895499676465988,0.355810546875,0.0003
8013824,3913,1.74705608,9022,888,1071.0,0.0009533042834846128,0.299566388130188,0.00833077851566486,0.05415196,-0.027100345119833946,2.5267753683030607,39120,0.2,0.06903397291898727,0.371728515625,0.0003
8015872,3914,1.7470719599999998,9025,888,1071.0,0.0008713023607924697,0.2698132395744324,0.00897620782488957,0.04676685,-0.007428128272294998,2.5225275926291943,39130,0.2,0.06916064769029617,0.322509765625,0.0003
8017920,3915,1.7488098699999997,9027,888,1071.0,0.0008029231839827844,0.24066412448883057,0.009129259854671546,0.0628318,-0.0036447052843868732,2.507062863558531,39140,0.2,0.07008220255374908,0.359716796875,0.0003
8019968,3916,1.7537683999999996,9029,888,1071.0,0.0009111145479437255,0.28870105743408203,0.0015900242055067793,0.030084202,0.03054962493479252,2.5083314761519433,39150,0.2,0.06931823492050171,0.32158203125,0.0003
8022016,3917,1.75485327,9032,888,1071.0,0.0010080863605253399,0.30264776945114136,0.011033900108304805,0.0454807,-0.009518006816506386,2.5182706780731676,39160,0.2,0.06944882869720459,0.314697265625,0.0003
8024064,3918,1.76014871,9034,888,1071.0,0.0008439573353825836,0.3100373148918152,0.00817797239869833,0.053644232,0.011552874930202961,2.5177512146532535,39170,0.2,0.06938862800598145,0.34287109375,0.0003
8026112,3919,1.76580431,9036,888,1071.0,0.0009809995829527906,0.29203957319259644,0.014004589975229464,0.043838456,0.00334102101624012,2.5048066943883898,39180,0.2,0.0700744241476059,0.348388671875,0.0003
8028160,3920,1.7672629100000001,9038,888,1071.0,0.0009930426072060072,0.2943549156188965,0.007177181850420311,0.042182606,0.0028842000756412745,2.487916813790798,39190,0.2,0.07058973610401154,0.32353515625,0.0003
8030208,3921,1.7731763999999999,9041,888,1071.0,0.0009151517308964685,0.3088139295578003,0.006085564990644343,0.030091256,0.001615030923858285,2.480168617516756,39200,0.2,0.070572130382061,0.311865234375,0.0003
8032256,3922,1.7778831199999998,9043,888,1071.0,0.0010438801207783399,0.29568248987197876,0.006277796512586064,0.030516014,-0.018111886456608772,2.485595542192459,39210,0.2,0.07030224800109863,0.3123046875,0.0003
8034304,3923,1.78123317,9045,888,1071.0,0.0009465452224503678,0.29878777265548706,0.005603835493093357,0.036931105,-0.026502825319767,2.5048166275024415,39220,0.2,0.06933382898569107,0.320654296875,0.0003
8036352,3924,1.7840044400000001,9048,888,1071.0,0.000982819322234718,0.29812872409820557,0.003091790757025592,0.05845482,0.020927194505929947,2.5338020853698255,39230,0.2,0.06811804324388504,0.321826171875,0.0003
8038400,3925,1.7860359000000003,9050,888,1071.0,0.0008977696315014327,0.30038774013519287,0.018779895137413405,0.09539752,0.05410660058259964,2.538191124051809,39240,0.2,0.06891684234142303,0.388134765625,0.0003
8040448,3926,1.7865110100000001,9052,888,1071.0,0.0010391647580036078,0.2715761065483093,0.002716834330931306,0.05183781,0.0062688058242201805,2.5244801081717014,39250,0.2,0.06911875307559967,0.34541015625,0.0003
