Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,96310,2024-03-08,8483.470000000008,0.26886857,2,0.0,-0.11580604455715124,True,119,137,256,"{'r': -0.115806, 'l': 1070, 't': 237.60047}",False
1080,97380,2024-03-08,8502.49,1.0,2,0.0,-0.09900429056635263,True,110,138,248,"{'r': -0.099004, 'l': 1070, 't': 240.124954}",False
1080,98450,2024-03-08,5587.899999999991,-1.0,0,-0.012485530745508963,-0.5295180216167662,True,110,145,255,"{'r': -0.529518, 'l': 1070, 't': 242.632489}",False
1080,99520,2024-03-08,2964.9999999999973,-0.08866012,1,0.0,-1.1687412811898943,True,101,162,263,"{'r': -1.168741, 'l': 1070, 't': 245.203212}",False
1080,100590,2024-03-08,6806.509999999997,0.14069177,0,0.0,-0.32661005175201024,True,108,135,243,"{'r': -0.32661, 'l': 1070, 't': 247.698992}",False
1080,101660,2024-03-08,9186.650000000014,1.0,1,0.0,-0.035808218117171865,True,114,144,258,"{'r': -0.035808, 'l': 1070, 't': 250.232803}",False
1080,102730,2024-03-08,10100.200000000017,-1.0,2,0.0,0.06692277106615843,True,112,139,251,"{'r': 0.066923, 'l': 1070, 't': 252.755924}",False
1080,103800,2024-03-08,8541.41000000001,-1.0,0,0.012483256481075301,-0.1008565299285803,True,123,138,261,"{'r': -0.100857, 'l': 1070, 't': 255.276793}",False
1080,104870,2024-03-08,9527.769999999999,-0.4347191,1,0.0,0.022172342362041953,True,87,119,206,"{'r': 0.022172, 'l': 1070, 't': 257.772312}",False
1080,105940,2024-03-08,13063.890000000005,0.7153632,0,-0.012062707019374756,0.32415813058580917,True,117,129,246,"{'r': 0.324158, 'l': 1070, 't': 260.325608}",False
1080,107010,2024-03-08,5837.000000000006,0.18164903,0,0.0,-0.48952601487969366,True,118,135,253,"{'r': -0.489526, 'l': 1070, 't': 262.807859}",False
1080,108080,2024-03-08,7880.649999999997,-0.1075488,1,0.0,-0.18823862747842532,True,114,132,246,"{'r': -0.188239, 'l': 1070, 't': 265.256284}",False
1080,109150,2024-03-08,8021.790000000007,-1.0,2,0.0,-0.16923326729245056,True,120,129,249,"{'r': -0.169233, 'l': 1070, 't': 267.684929}",False
1080,110220,2024-03-08,6530.619999999995,0.02719386,0,0.0,-0.3785474842033332,True,121,135,256,"{'r': -0.378547, 'l': 1070, 't': 270.15732}",False
1080,111290,2024-03-08,6359.750000000004,-0.42931625,0,-0.012063857980150373,-0.3996737269328839,True,115,138,253,"{'r': -0.399674, 'l': 1070, 't': 272.604908}",False
1080,112360,2024-03-08,8254.160000000005,0.6404988,1,0.0,-0.14298726597520164,True,114,138,252,"{'r': -0.142987, 'l': 1070, 't': 275.136018}",False
1080,113430,2024-03-08,6470.620000000004,-0.89764625,2,0.0,-0.38084381556740143,True,117,132,249,"{'r': -0.380844, 'l': 1070, 't': 277.575077}",False
1080,114500,2024-03-08,5836.720000000006,-0.13596028,1,0.0,-0.4889443884869162,True,111,139,250,"{'r': -0.488944, 'l': 1070, 't': 280.047811}",False
1080,115570,2024-03-08,5196.240000000012,0.4087385,0,-0.01206344860628662,-0.601451971431133,True,95,146,241,"{'r': -0.601452, 'l': 1070, 't': 282.499666}",False
