time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/std
586,48,1663.0,589824,-0.22764100999999998,1005,-0.00098677994319587,0.002325421643035952,0.01659865863621235,0.04873860677083333,-2.8222619760781527,0.0003,470,0.003935277462005615,0.2,0.0044180136,1.0161125659942627
599,49,1663.0,602112,-0.23820827,1005,-0.0005374693869574306,0.0022624777501126423,-0.001924468670040369,0.055322265625,-2.837830554197232,0.0003,480,0.009964227676391602,0.2,0.005721558,1.0267200469970703
611,50,1663.0,614400,-0.24154631999999998,1004,-0.0024441680281597654,0.0023103168754156893,0.01816178672015667,0.061767578125,-2.835641320173939,0.0003,490,0.026415884494781494,0.2,0.0065119634,1.0219707489013672
623,51,1663.0,626688,-0.25122975999999997,1004,-0.0010320871345660028,0.0021414683147061926,-0.004908386152237654,0.0440185546875,-2.8269352710495395,0.0003,500,0.011671721935272217,0.2,0.004715353,1.0180318355560303
636,52,1663.0,638976,-0.26000989,1004,-9.35764765017666e-06,0.002330100778817723,0.0084453783929348,0.05810546875,-2.823902882511417,0.0003,510,0.01018214225769043,0.2,0.005638095,1.0206043720245361
648,53,1663.0,651264,-0.24997553000000003,1004,-0.0010558607798884622,0.001980601606919663,0.023629752919077873,0.05284830729166667,-2.8278537624826035,0.0003,520,0.004093468189239502,0.2,0.0057135634,1.0173888206481934
661,54,1663.0,663552,-0.223972,1003,-0.0017091874171455857,0.0022719749260735017,0.002280751708894968,0.04415690104166667,-2.819389482960105,0.0003,530,-0.01508629322052002,0.2,0.0051196995,1.0159608125686646
673,55,1663.0,675840,-0.22094842000000003,1003,-0.002961155465406288,0.0020643936862143166,0.006170633248984814,0.0628662109375,-2.812539738168319,0.0003,540,-0.009042501449584961,0.2,0.006149974,1.0181776285171509
685,56,1663.0,688128,-0.22436441000000007,1003,-0.0014150837438743717,0.0021920355184799215,-0.009273593313992023,0.050154622395833334,-2.8208071904877823,0.0003,550,-0.0005161762237548828,0.2,0.006275933,1.0254207849502563
698,57,1663.0,700416,-0.22931934,1003,-0.002318159199785441,0.002201270002600116,-0.0002279097680002451,0.0609619140625,-2.8269418369978667,0.0003,560,-0.010088562965393066,0.2,0.0056243637,1.0252946615219116
710,58,1663.0,712704,-0.26226324,1003,-0.0009651577497910087,0.002288432023851783,-0.00878649577498436,0.04995930989583333,-2.823337589701017,0.0003,570,0.007396280765533447,0.2,0.0052537746,1.026228666305542
722,59,1663.0,724992,-0.28241585,1002,-0.0006583778430164481,0.0022327713519795602,-0.016812840476632118,0.05030110677083333,-2.811250073586901,0.0003,580,0.007055997848510742,0.2,0.0046213106,1.0210061073303223
735,60,1663.0,737280,-0.27001821,1002,-0.0012780136416646807,0.002261096297236994,-0.003829360008239746,0.050154622395833334,-2.8122973036020995,0.0003,590,0.011704325675964355,0.2,0.0041745813,1.0263867378234863
747,61,1663.0,749568,-0.25716863,1002,-0.0012017418254496686,0.00217756335168815,0.004306587390601635,0.05313313802083333,-2.815381761143605,0.0003,600,0.006701052188873291,0.2,0.005095418,1.0282968282699585
760,62,1663.0,761856,-0.27220031,1002,-0.0013326154240833907,0.002126125880931795,0.01650913804769516,0.04943033854166667,-2.8283706569423277,0.0003,610,0.0017794370651245117,0.2,0.004573444,1.0400962829589844
772,63,1663.0,774144,-0.27672154,1002,-0.0004513421040125346,0.0023120111208603097,0.0015871826326474547,0.05410970052083333,-2.8190876457840206,0.0003,620,0.015762150287628174,0.2,0.00609621,1.0374233722686768
784,64,1663.0,786432,-0.27329582,1002,-0.0005868814543646295,0.002244643426092807,-0.009208393283188343,0.0763916015625,-2.8213343107451996,0.0003,630,0.013965249061584473,0.2,0.007822278,1.0402486324310303
797,65,1663.0,798720,-0.23632273999999998,1002,-0.001317885172223517,0.002215267215433414,-0.012112612836062908,0.05719401041666667,-2.828402137880524,0.0003,640,0.014421403408050537,0.2,0.005565926,1.0438950061798096
809,66,1663.0,811008,-0.23352713000000005,1002,-0.0011762679326542032,0.001940786132915188,0.010505837388336658,0.0665283203125,-2.8260110759486756,0.0003,650,0.018444359302520752,0.2,0.0064762994,1.0442090034484863
821,67,1663.0,823296,-0.22794961000000005,1001,-0.0004380515992428021,0.002125558735284964,-0.0071203261613845825,0.050732421875,-2.825567251071334,0.0003,660,0.007189810276031494,0.2,0.004661381,1.047946810722351
834,68,1663.0,835584,-0.24506546999999998,1001,-0.0012389543536604228,0.002060477510834365,0.01848520338535309,0.059423828125,-2.815842891484499,0.0003,670,0.0011647343635559082,0.2,0.00601099,1.0410730838775635
846,69,1663.0,847872,-0.25395405,1001,-0.0011943430132911697,0.0020809378375209538,-0.008063857443630695,0.05223795572916667,-2.807908975829681,0.0003,680,-0.006912946701049805,0.2,0.0053830147,1.038678765296936
858,70,1663.0,860160,-0.28355195,1001,-0.0010504692555211173,0.0019235094949181075,0.020605314522981644,0.05669759114583333,-2.7962523033221562,0.0003,690,0.00885772705078125,0.2,0.0059243436,1.040439486503601
871,71,1663.0,872448,-0.30427720999999996,1001,-0.0016219618039031048,0.00224132776887321,-0.005953724961727858,0.05135904947916667,-2.7919697765260936,0.0003,700,0.017653346061706543,0.2,0.004739027,1.0398204326629639
883,72,1663.0,884736,-0.29155743,1001,-0.0010152801754884423,0.001967513643133619,-0.014356443658471107,0.049235026041666664,-2.7974140542248884,0.0003,710,0.011496365070343018,0.2,0.0058540255,1.0418763160705566
896,73,1663.0,897024,-0.30521836,1000,0.00019357459774861733,0.0021653018851793605,0.04627354443073273,0.055379231770833336,-2.785384130726258,0.0003,720,0.01356816291809082,0.2,0.005504536,1.0370919704437256
908,74,1663.0,909312,-0.28657641,1000,-0.0013352548172406386,0.001927640386990485,-0.0016476846067234874,0.05034993489583333,-2.768356301635504,0.0003,730,-0.002719402313232422,0.2,0.00458393,1.0261905193328857
920,75,1663.0,921600,-0.28689774,1000,-0.0014572451073036063,0.0022352936433890137,0.0027791238389909267,0.05689290364583333,-2.7508163599918287,0.0003,740,0.005548298358917236,0.2,0.005549263,1.0205109119415283
933,76,1663.0,933888,-0.28048649,1000,-0.0007151554847951048,0.0021777124850511126,0.005713957827538252,0.06109212239583333,-2.733893488720059,0.0003,750,-0.009825944900512695,0.2,0.006725693,1.0131800174713135
945,77,1663.0,946176,-0.2893027799999999,1000,-0.000961515095938618,0.0021885583683494284,-0.0078042615205049515,0.05646158854166667,-2.721446934466561,0.0003,760,-0.0006399154663085938,0.2,0.005493343,1.0119853019714355
958,78,1663.0,958464,-0.28713983,1000,-0.0010373111770604737,0.002284097640191855,-0.005544211715459824,0.05492350260416667,-2.7290950120737154,0.0003,770,0.0048010945320129395,0.2,0.0051360438,1.0161265134811401
970,79,1663.0,970752,-0.28243602999999995,1000,-0.0021679550719757874,0.002079476092906892,0.03664834797382355,0.06932779947916666,-2.7190221164375545,0.0003,780,-0.0005513429641723633,0.2,0.0072091273,1.010025978088379
982,80,1663.0,983040,-0.28520462999999996,1000,-7.243512178926419e-05,0.0017533393993592957,0.025991877540946007,0.054606119791666664,-2.72003209789594,0.0003,790,-0.003160238265991211,0.2,0.0068409466,1.016315221786499
995,81,1663.0,995328,-0.29621546,1000,-0.00043865143040117496,0.0018559917590816137,-0.012921461835503578,0.060953776041666664,-2.718428043027719,0.0003,800,0.0009610652923583984,0.2,0.005724743,1.016814947128296
1007,82,1663.0,1007616,-0.27708361,1000,-0.0010566468149287782,0.002353004729654155,0.0017916338983923197,0.06695149739583334,-2.720361452301343,0.0003,810,0.010574877262115479,0.2,0.007222639,1.0177425146102905
1019,83,1663.0,1019904,-0.29295304,1000,-0.0012401477239715557,0.0021214205832317625,-0.015984904021024704,0.0655517578125,-2.7171583840002618,0.0003,820,0.011202096939086914,0.2,0.0055016666,1.0185980796813965
1032,84,1663.0,1032192,-0.28168264,999,-0.0009311158091198497,0.002023390913473122,0.015040379017591476,0.05431315104166667,-2.7127164332816998,0.0003,830,0.00010484457015991211,0.2,0.005531762,1.0162831544876099
1044,85,1663.0,1044480,-0.27536070999999995,999,-0.0007012045886464572,0.0021647522637673927,-0.0031076231971383095,0.0649169921875,-2.7133030220866203,0.0003,840,-0.0011631250381469727,0.2,0.0052540414,1.0163159370422363
1057,86,1663.0,1056768,-0.27902088999999997,999,-0.0016274708408066847,0.0022692126706412336,0.0011001222301274538,0.056624348958333334,-2.705791720499595,0.0003,850,-0.0030020475387573242,0.2,0.007275338,1.0144891738891602
1069,87,1663.0,1069056,-0.29729279,999,-0.0013437615967025825,0.0021236700363563917,0.004000803455710411,0.051961263020833336,-2.6996627652396756,0.0003,860,0.005063116550445557,0.2,0.004852512,1.016944408416748
1082,88,1663.0,1081344,-0.28117390999999997,999,-0.0015825548303837421,0.001960234897796909,-0.018153704702854156,0.054736328125,-2.7002442039549353,0.0003,870,-0.00025784969329833984,0.2,0.0059962124,1.016308069229126
1094,89,1663.0,1093632,-0.27235664,999,-0.0020305578839421895,0.0019925995535838106,-0.0013087858678773046,0.05388997395833333,-2.7014638955394426,0.0003,880,-0.008411765098571777,0.2,0.004605666,1.0155324935913086
1106,90,1663.0,1105920,-0.2759526,999,-0.0010772447919104404,0.0021421677650020382,-0.0018241857178509235,0.0522705078125,-2.7125835253546637,0.0003,890,0.0048545002937316895,0.2,0.0048454404,1.0269839763641357
1119,91,1663.0,1118208,-0.26237665,998,-0.0008248349372782589,0.0023642379109636144,-0.013024510815739632,0.0473876953125,-2.7156555278847616,0.0003,900,-0.0024137496948242188,0.2,0.0048342315,1.024228811264038
1131,92,1663.0,1130496,-0.23196651,998,-0.0009121334049268625,0.0019815372310101036,-0.0020125634036958218,0.05023600260416667,-2.7239788953214883,0.0003,910,-0.010511279106140137,0.2,0.005915683,1.0327504873275757
1144,93,1663.0,1142784,-0.22877853,998,-0.001147653948161557,0.0022237570674406015,0.001191329793073237,0.06259765625,-2.7041101285566884,0.0003,920,-0.0021953582763671875,0.2,0.005673351,1.0258231163024902
1156,94,1663.0,1155072,-0.22928651,998,-0.001397720582705612,0.0021503370463809308,-0.016386177390813828,0.047102864583333334,-2.707535612707337,0.0003,930,-0.004591941833496094,0.2,0.0055681765,1.0287079811096191
1169,95,1663.0,1167360,-0.24578502999999993,998,-0.0002132352155361635,0.0020379101908777858,0.0034632685128599405,0.053084309895833334,-2.6999490267286697,0.0003,940,-0.00047278404235839844,0.2,0.006047979,1.0334843397140503
1181,96,1663.0,1179648,-0.24384474,998,-0.0008333358930637284,0.0019757675404131684,-0.0023709903471171856,0.05933430989583333,-2.688070125877857,0.0003,950,-0.004780769348144531,0.2,0.006464004,1.0302033424377441
1194,97,1663.0,1191936,-0.25105125,998,-0.001411529950564727,0.0022832468148408225,-0.0036926015745848417,0.06844075520833333,-2.6901510950177907,0.0003,960,-0.001941680908203125,0.2,0.0067285206,1.0399389266967773
1206,98,1663.0,1204224,-0.21850655,998,-0.0011457580141723156,0.0021749921615082713,0.01222847681492567,0.05611979166666667,-2.697067142650485,0.0003,970,-0.007218837738037109,0.2,0.005651955,1.0409685373306274
1219,99,1663.0,1216512,-0.17803982,997,2.8730866082090262e-05,0.002368547561733673,0.00041144248098134995,0.05364583333333333,-2.692723407347997,0.0003,980,-0.006025075912475586,0.2,0.005765287,1.0370712280273438
1232,100,1663.0,1228800,-0.16411514000000005,997,-0.0018951797292781217,0.001875761840741082,-0.02760937251150608,0.06280110677083334,-2.6789633550991616,0.0003,990,-0.003779768943786621,0.2,0.0060907677,1.0313258171081543
1244,101,1663.0,1241088,-0.18299537000000002,996,-0.0009778969394877398,0.0022465892832163564,-0.004633033182471991,0.05306803385416667,-2.6742261592298746,0.0003,1000,0.0013945698738098145,0.2,0.005694131,1.0334575176239014
1257,102,1663.0,1253376,-0.17002049999999996,996,-0.0012932769444887527,0.002109415953903711,0.02104475535452366,0.0615966796875,-2.67260171957314,0.0003,1010,-0.007884621620178223,0.2,0.0062032305,1.031990885734558
1270,103,1663.0,1265664,-0.15582761,996,-0.0003679741491699436,0.0021742708953449135,-0.014443527907133102,0.05139973958333333,-2.658627152691285,0.0003,1020,-0.0010486841201782227,0.2,0.005520674,1.0288383960723877
1283,104,1663.0,1277952,-0.17060010999999997,995,-0.001179014794373264,0.002076909579773201,0.009985641576349735,0.0579345703125,-2.6633775075276693,0.0003,1030,-0.0010436773300170898,0.2,0.0044755023,1.03970468044281
1295,105,1663.0,1290240,-0.16429484,995,-0.0016130910652767247,0.0019509761765827232,0.008704542182385921,0.052449544270833336,-2.6538886493692795,0.0003,1040,-0.008711934089660645,0.2,0.0060303193,1.0296931266784668
1308,106,1663.0,1302528,-0.17158933999999998,995,-0.0010790315704070964,0.0022521031302251988,0.00044190301559865475,0.06376139322916667,-2.665402124449611,0.0003,1050,-0.0031589269638061523,0.2,0.005491515,1.0474869012832642
1321,107,1663.0,1314816,-0.16016477,994,-0.0007213439879706129,0.0018506540591564165,0.008674493059515953,0.04908040364583333,-2.670347511395812,0.0003,1060,-0.004368782043457031,0.2,0.004900027,1.0483653545379639
1334,108,1663.0,1327104,-0.15124751,994,-0.00092275702409097,0.0021877777792724375,0.013166188262403011,0.05243326822916667,-2.6817584950476885,0.0003,1070,0.00015980005264282227,0.2,0.0057716933,1.0518250465393066
1347,109,1663.0,1339392,-0.16296179,994,-0.0012957510341948363,0.002262584963258026,-0.006286303047090769,0.06475423177083334,-2.6638116873800755,0.0003,1080,0.0010447502136230469,0.2,0.007462032,1.04461669921875
1360,110,1663.0,1351680,-0.15107663000000002,993,-0.00042058735258857877,0.002312754108849428,0.006358151789754629,0.05498046875,-2.649883070960641,0.0003,1090,0.00867551565170288,0.2,0.006145419,1.0400142669677734
1372,111,1663.0,1363968,-0.14409963,993,-0.0006093014897487592,0.002156061794873191,0.0038678296841681004,0.05677083333333333,-2.657342353959878,0.0003,1100,0.009392321109771729,0.2,0.0046562157,1.0523669719696045
1385,112,1663.0,1376256,-0.12995423,993,-0.0017471903995707786,0.002119023201248638,0.007147001102566719,0.06669108072916667,-2.6683447949588297,0.0003,1110,-0.001259922981262207,0.2,0.005309535,1.0536012649536133
1398,113,1663.0,1388544,-0.11780931,993,-0.001739650841288191,0.002205992004807437,-0.013498082756996155,0.06427408854166666,-2.6685151388247808,0.0003,1120,0.001583099365234375,0.2,0.0065124095,1.0562310218811035
1410,114,1663.0,1400832,-0.13547725,993,-0.0020968977155765363,0.002121287644513359,0.006457456387579441,0.06968587239583333,-2.656182165443897,0.0003,1130,0.0019178390502929688,0.2,0.0063640904,1.0500249862670898
1423,115,1663.0,1413120,-0.13550348,992,-0.00018354887045764676,0.0021027865986980032,0.01481594331562519,0.057845052083333334,-2.638524930924177,0.0003,1140,-0.003197312355041504,0.2,0.006237608,1.041678547859192
1435,116,1663.0,1425408,-0.13763028,992,-0.0006073352400562726,0.0021617565528989266,0.011568930000066757,0.058121744791666666,-2.6369114751617113,0.0003,1150,-0.0002351999282836914,0.2,0.0053394195,1.0427875518798828
1448,117,1663.0,1437696,-0.14589391999999998,992,-0.0013369302881377128,0.0022673214097267192,0.0062729488126933575,0.0638671875,-2.620310144126415,0.0003,1160,0.0038766860961914062,0.2,0.0062610586,1.0389516353607178
1460,118,1663.0,1449984,-0.14097081,992,-0.0011536680278368295,0.002061939003063647,0.012686745263636112,0.059375,-2.618629861002167,0.0003,1170,-0.005640268325805664,0.2,0.0060370136,1.0406198501586914
1473,119,1663.0,1462272,-0.13632811999999997,992,0.0002585109699187645,0.0020596830612703344,0.015965759754180908,0.06266276041666667,-2.607739204665025,0.0003,1180,-0.0025720596313476562,0.2,0.0060080327,1.0385884046554565
1485,120,1663.0,1474560,-0.14209604999999997,992,-0.00046573892759624866,0.0022854374292061645,0.020130040124058723,0.07230631510416667,-2.6162705736855667,0.0003,1190,-0.002050042152404785,0.2,0.006252947,1.0413823127746582
1498,121,1663.0,1486848,-0.16910724000000002,992,-0.0003315443658114721,0.0021959567367351458,-1.7253332771360874e-05,0.06315104166666667,-2.607693782200416,0.0003,1200,0.006843924522399902,0.2,0.005784461,1.0408885478973389
