time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate
1846,2457600,989.0,120,1.09514026,1331,0.10513671875,-1.2012734454125167,1190,0.2501773238182068,0.00855056,0.4485602378845215,0.2,0.00142781944188755,0.0005557602504177339,-0.005777914077043533,0.0003
1862,2478080,989.0,121,1.08707454,1330,0.1085791015625,-1.1797449296340345,1200,0.2518482804298401,0.0097127315,0.4442968964576721,0.2,0.001673724734573625,0.0005588813077429222,-0.004962883424013853,0.0003
1877,2498560,989.0,122,1.0960713899999999,1330,0.107177734375,-1.1560767360031605,1210,0.25944072008132935,0.0088391,0.43922919034957886,0.2,0.0019821675278944894,0.000561761285061948,-0.021020544692873955,0.0003
1893,2519040,989.0,123,1.1103530000000001,1330,0.1039111328125,-1.1344914013892413,1220,0.24686110019683838,0.009038609,0.43491077423095703,0.2,0.001946636847278569,0.0005278562126795805,-0.027702081948518753,0.0003
1909,2539520,989.0,124,1.12198894,1330,0.107783203125,-1.1297629980742931,1230,0.2419872283935547,0.008811277,0.4363101124763489,0.2,0.001543588110653218,0.0005619277876667184,0.007215806748718023,0.0003
1924,2560000,989.0,125,1.1231184900000002,1329,0.10796875,-1.12612748388201,1240,0.22986841201782227,0.010861913,0.43547701835632324,0.2,0.001904105193389114,0.0005631547056282216,-0.011706269346177578,0.0003
1940,2580480,989.0,126,1.1297366700000002,1329,0.1113720703125,-1.119311711601913,1250,0.23365408182144165,0.008592343,0.4319859743118286,0.2,0.001964386899780948,0.0005558012243545818,-0.015496036037802696,0.0003
1956,2600960,989.0,127,1.1271338800000001,1329,0.1046728515625,-1.098899622708559,1260,0.258423388004303,0.008797789,0.4280960261821747,0.2,0.0012338599791110027,0.0005372852032269293,-0.009210738353431225,0.0003
1972,2621440,989.0,128,1.1328603999999998,1329,0.1067578125,-1.0943545474857093,1270,0.24812054634094238,0.008753486,0.42760443687438965,0.2,0.0013623493042541667,0.0005549735200247596,0.007323320489376783,0.0003
1987,2641920,989.0,129,1.12028903,1329,0.1129345703125,-1.0744114050641655,1280,0.2471696138381958,0.008471743,0.423297643661499,0.2,0.0012756911492033396,0.0005751966285788512,0.003690727986395359,0.0003
2003,2662400,989.0,130,1.1293373500000001,1328,0.1071337890625,-1.0639624506235124,1290,0.258503258228302,0.010155072,0.4219992160797119,0.2,0.0018769965175306424,0.0005335513423506199,-0.017241671681404114,0.0003
2019,2682880,989.0,131,1.1355425399999999,1328,0.114267578125,-1.0544349799305202,1300,0.2606387138366699,0.01015068,0.4195170998573303,0.2,0.0013829620003525634,0.0005385673590717488,-0.007774771191179752,0.0003
2034,2703360,989.0,132,1.13149836,1328,0.1082666015625,-1.037166434675455,1310,0.258195698261261,0.009488739,0.4179295301437378,0.2,0.0016545900075288955,0.0005681331740106544,-0.017875250428915024,0.0003
2050,2723840,989.0,133,1.1326499500000002,1328,0.109970703125,-1.0348454204946755,1320,0.2690250277519226,0.008899829,0.41581350564956665,0.2,0.0016754713012778666,0.0005733749613045802,0.012743329629302025,0.0003
2066,2744320,989.0,134,1.1401903299999998,1327,0.1181689453125,-1.0198823792859912,1330,0.25572913885116577,0.009979298,0.4133470356464386,0.2,0.002076140655699419,0.000579223004870073,0.003952053841203451,0.0003
2082,2764800,989.0,135,1.14507525,1327,0.11263671875,-0.9993721929937601,1340,0.2780763506889343,0.009562368,0.407687783241272,0.2,0.0020360528164019343,0.0005352325443573136,0.004827803932130337,0.0003
2098,2785280,989.0,136,1.15327907,1327,0.115908203125,-0.9691006247512997,1350,0.27749502658843994,0.0103786895,0.40308624505996704,0.2,0.0017694164763088337,0.0005701855314418935,-0.014813904650509357,0.0003
2113,2805760,989.0,137,1.1507874,1327,0.1098681640625,-0.9564099505543708,1360,0.2697303295135498,0.0100188255,0.4021909832954407,0.2,0.002031729393347632,0.0005523341423804596,-0.013110927306115627,0.0003
2129,2826240,989.0,138,1.15671433,1327,0.1111474609375,-0.953972733207047,1370,0.26364731788635254,0.010127371,0.4006017744541168,0.2,0.0019080002799455541,0.0005872236640971096,0.002972476650029421,0.0003
2145,2846720,989.0,139,1.17472721,1326,0.1095947265625,-0.9363029906339944,1380,0.26443707942962646,0.010410662,0.3981441855430603,0.2,0.0022747528973559384,0.0005441302360941336,0.018144430592656136,0.0003
2161,2867200,989.0,140,1.1702141300000002,1326,0.1096435546875,-0.9348969377204775,1390,0.272208034992218,0.009075185,0.3975372314453125,0.2,0.0025625368465262,0.0005443758334558879,-0.004725654609501362,0.0003
2176,2887680,989.0,141,1.1720388300000002,1326,0.1169970703125,-0.9359316547214985,1400,0.2667313814163208,0.009033569,0.3989250063896179,0.2,0.0021767827869189206,0.0005580369241170046,0.0013880414189770818,0.0003
2192,2908160,989.0,142,1.1683139,1326,0.1196875,-0.9139878193102777,1410,0.2808178663253784,0.009566672,0.3922670781612396,0.2,0.001591031690040836,0.0005610648553147257,-0.029914304614067078,0.0003
2208,2928640,989.0,143,1.1658703,1326,0.117294921875,-0.8999993905238807,1420,0.2738990783691406,0.009216689,0.3922695517539978,0.2,0.002629615039768396,0.0005655369226360563,-0.013029229827225208,0.0003
2223,2949120,989.0,144,1.16419913,1326,0.119453125,-0.8742444900237024,1430,0.2845439910888672,0.011526008,0.38559603691101074,0.2,0.001542288888740586,0.0005484065555219786,-0.0035832575522363186,0.0003
2239,2969600,989.0,145,1.15841448,1325,0.1196923828125,-0.8638415399938821,1440,0.2883263826370239,0.00987823,0.3845348358154297,0.2,0.002212282986874925,0.0005624013961278251,-0.014130945317447186,0.0003
2255,2990080,989.0,146,1.16183089,1325,0.11115234375,-0.8602396743744611,1450,0.25935691595077515,0.009938836,0.3856232762336731,0.2,0.002121224760921905,0.0005987154250578897,-0.00490826228633523,0.0003
2270,3010560,989.0,147,1.15400464,1325,0.12001953125,-0.8622745122015476,1460,0.2923195958137512,0.0113150785,0.3852764368057251,0.2,0.002617298654804472,0.0006056151145548938,-0.006024204660207033,0.0003
2286,3031040,989.0,148,1.1557189199999998,1325,0.117294921875,-0.8573232499137521,1470,0.27305471897125244,0.010555008,0.3835238218307495,0.2,0.0024696560837037394,0.0006373729877122969,0.007050492335110903,0.0003
2302,3051520,989.0,149,1.15546182,1325,0.1146533203125,-0.8456270695477724,1480,0.27781105041503906,0.011255892,0.38122129440307617,0.2,0.002707298588939011,0.0005934402842376585,-0.016963601112365723,0.0003
2317,3072000,989.0,150,1.1765602700000002,1325,0.109150390625,-0.8309333033300936,1490,0.28089332580566406,0.009351207,0.3776423931121826,0.2,0.0024100945968530143,0.0005782558851660725,0.02031712792813778,0.0003
2333,3092480,989.0,151,1.17547527,1325,0.1082666015625,-0.8193390862457455,1500,0.27593517303466797,0.009139076,0.37650376558303833,0.2,0.0025373245506489185,0.0005952351235237075,0.00771358422935009,0.0003
2349,3112960,989.0,152,1.19633806,1324,0.11685546875,-0.8170728650689125,1510,0.2656073570251465,0.009566571,0.3771357238292694,0.2,0.002458528548449976,0.0006111019247691729,-0.004653987009078264,0.0003
2364,3133440,989.0,153,1.18990938,1325,0.1233740234375,-0.8136828321218491,1520,0.2708060145378113,0.011070209,0.37651926279067993,0.2,0.002327246796194231,0.0005934617772982164,0.024984247982501984,0.0003
