time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/entropy_loss
563200,1.86519528,275,1071.0,889,633,0.0011243258084505214,0.020830642,0.233447265625,0.0003,-0.012903198599815369,2740,-0.004442529220250435,0.2356293499469757,0.3383302688598633,0.2,0.0803222481161356
565248,1.8674705900000004,276,1071.0,889,635,0.0013503433621735895,0.027914697,0.256103515625,0.0003,0.004507073666900396,2750,-0.00042121060832869264,0.23509544134140015,0.3902106285095215,0.2,0.08085247352719308
567296,1.8673347200000003,277,1071.0,889,637,0.0012073880205207387,0.02509915,0.261865234375,0.0003,-0.005169013515114784,2760,-0.007612624161993153,0.2352759838104248,0.43745046854019165,0.2,0.08058638386428356
569344,1.8664003400000002,278,1071.0,889,639,0.0014147878617222886,0.018287353,0.24638671875,0.0003,0.014735834673047066,2770,-0.007204758557782043,0.234432190656662,0.40297824144363403,0.2,0.08397745564579964
571392,1.8692609700000002,279,1071.0,889,642,0.0012635529401450185,0.02352849,0.221484375,0.0003,-0.0019676806405186653,2780,-0.001621687749866396,0.23092156648635864,0.39731383323669434,0.2,0.10462237857282161
573440,1.8671266800000001,280,1071.0,889,644,0.001289044242730597,0.024668045,0.231005859375,0.0003,0.012668697163462639,2790,-0.0004670557638746686,0.23172837495803833,0.4136051535606384,0.2,0.1162340234965086
575488,1.86694422,281,1071.0,889,646,0.001350770606768492,0.026743568,0.264306640625,0.0003,-0.011181908659636974,2800,-0.006302932547987439,0.2304743528366089,0.40712106227874756,0.2,0.11852032244205475
577536,1.86551137,282,1071.0,889,649,0.0013524582533136708,0.024440508,0.247314453125,0.0003,-0.01861288584768772,2810,-0.0011340327706420793,0.22829708456993103,0.41746920347213745,0.2,0.13489966168999673
579584,1.86085318,283,1071.0,889,651,0.0012866428023698973,0.02811607,0.258837890625,0.0003,-0.012807751074433327,2820,-0.006693563747103326,0.22851651906967163,0.42027854919433594,0.2,0.14200961962342262
581632,1.8636993299999998,284,1071.0,889,653,0.0013707523077755468,0.018577684,0.2607421875,0.0003,-0.0063718268647789955,2830,0.001881587301613763,0.22938942909240723,0.3382241725921631,0.2,0.1395061083137989
583680,1.86307863,285,1071.0,889,655,0.0012931510736962082,0.025805522,0.249853515625,0.0003,-0.05399162322282791,2840,-0.0038430297950981184,0.23329591751098633,0.403179407119751,0.2,0.12039954960346222
585728,1.8612926600000004,286,1071.0,889,658,0.0012781685356458184,0.02243856,0.22509765625,0.0003,-0.02385171875357628,2850,-0.004457768850261346,0.2350250482559204,0.329733669757843,0.2,0.09622416310012341
587776,1.8604848500000002,287,1071.0,889,660,0.0012590894506502083,0.031214673,0.274072265625,0.0003,-0.017403068020939827,2860,-0.0024067417602054776,0.23209866881370544,0.40783536434173584,0.2,0.10363610498607159
589824,1.8601472199999998,288,1071.0,889,662,0.0014226983850676334,0.021596719,0.2638671875,0.0003,-0.025366289541125298,2870,-0.0019338909856742247,0.23312881588935852,0.40752559900283813,0.2,0.10942121855914592
591872,1.8613194199999998,289,1071.0,889,665,0.0013291294997543445,0.024360027,0.250390625,0.0003,-0.02750384993851185,2880,-0.0006784229335607961,0.23543280363082886,0.43295562267303467,0.2,0.09456346444785595
593920,1.8602569199999999,290,1071.0,889,667,0.001423149600668694,0.034789354,0.257568359375,0.0003,0.05394083261489868,2890,0.002334554953267798,0.2350839376449585,0.41549450159072876,0.2,0.08383416905999183
595968,1.85068242,291,1071.0,889,669,0.0014807430419750745,0.03645955,0.240966796875,0.0003,0.06868240982294083,2900,-0.0034043424879200757,0.23716886341571808,0.38867437839508057,0.2,0.0761120118200779
598016,1.8485473199999998,292,1071.0,889,671,0.001160945333322161,0.019776706,0.247900390625,0.0003,0.021484563127160072,2910,-0.0036608797847293316,0.23690611124038696,0.41263723373413086,0.2,0.06877000741660595
600064,1.8443494700000003,293,1071.0,889,674,0.0013832903257934958,0.028707143,0.217333984375,0.0003,0.029287442564964294,2920,-0.002406418167811353,0.23707696795463562,0.43454664945602417,0.2,0.0672878660261631
602112,1.8360385000000001,294,1071.0,889,676,0.0012911364825413329,0.02132463,0.2494140625,0.0003,0.0029806571546941996,2930,-0.003995894076069817,0.2343718707561493,0.4265235662460327,0.2,0.0815970528870821
604160,1.8384737899999999,295,1071.0,889,678,0.0012363543053652392,0.025958283,0.254248046875,0.0003,-0.029348284006118774,2940,-0.0028956288006156683,0.2352018505334854,0.39986658096313477,0.2,0.08699731007218361
606208,1.8364860499999998,296,1071.0,890,681,0.0015690481448473292,0.020893432,0.230078125,0.0003,0.02301846072077751,2950,-0.00229350436857203,0.2340729534626007,0.38953322172164917,0.2,0.08653078489005565
608256,1.8335423099999997,297,1071.0,890,683,0.0014954107993617072,0.021678671,0.240283203125,0.0003,-0.00623017642647028,2960,-0.005359130549186375,0.23654228448867798,0.3450774550437927,0.2,0.08020815998315811
610304,1.8352404399999998,298,1071.0,890,685,0.0011042383603125927,0.020653937,0.258740234375,0.0003,0.03162367269396782,2970,-0.00015750543680042027,0.2365334928035736,0.45947152376174927,0.2,0.07101211734116078
612352,1.8340075399999998,299,1071.0,890,687,0.0015494475992454682,0.019327074,0.2439453125,0.0003,-0.01030454970896244,2980,-0.005826185636396986,0.2330298125743866,0.4011550545692444,0.2,0.08949955701828002
614400,1.83304671,300,1071.0,890,690,0.0014660868038845365,0.023727428,0.239013671875,0.0003,-0.03898826241493225,2990,-0.003913154863403179,0.233237624168396,0.392253041267395,0.2,0.0993862971663475
616448,1.8385170299999998,301,1071.0,890,692,0.0011684591105222352,0.022147415,0.252734375,0.0003,0.0031274836510419846,3000,-0.00328021199820796,0.23341864347457886,0.43571043014526367,0.2,0.10371710434556007
618496,1.83173935,302,1071.0,890,694,0.0012803624756998033,0.031877443,0.24013671875,0.0003,-0.02114071696996689,3010,0.0003815651871263981,0.23295068740844727,0.4162331223487854,0.2,0.10268285199999809
620544,1.8336626999999999,303,1071.0,890,697,0.0012758617638610303,0.032208674,0.248095703125,0.0003,-0.03407258540391922,3020,-0.006046840088674799,0.23271016776561737,0.38299596309661865,0.2,0.10497782416641713
622592,1.84239616,304,1071.0,890,699,0.0014369272328622173,0.020300157,0.261279296875,0.0003,0.016295824199914932,3030,-0.00040257882501464336,0.22896791994571686,0.40675556659698486,0.2,0.12235578820109368
624640,1.8397637300000003,305,1071.0,890,701,0.0014536723854689626,0.021445021,0.23623046875,0.0003,-0.009740022011101246,3040,-0.004252257230109535,0.22671020030975342,0.4264336824417114,0.2,0.14686959125101567
626688,1.83638885,306,1071.0,890,703,0.0015524105521762977,0.029014144,0.2583984375,0.0003,-0.02151774801313877,3050,-0.006070908479159698,0.2279461920261383,0.426209032535553,0.2,0.14869993291795253
628736,1.8315984600000002,307,1071.0,890,706,0.0015031109165647648,0.025257308,0.2513671875,0.0003,0.007382296957075596,3060,-0.0022996756131760778,0.2266559600830078,0.4015929102897644,0.2,0.1507730506360531
630784,1.82974967,308,1071.0,890,708,0.0012572601312058397,0.023907645,0.2646484375,0.0003,-0.03987511247396469,3070,-0.005006312837940641,0.22499477863311768,0.4190572500228882,0.2,0.16828957349061965
632832,1.8342568,309,1071.0,890,710,0.001186683743253525,0.021243006,0.289794921875,0.0003,-0.00354408728890121,3080,-0.00027803088596556336,0.2227509319782257,0.37815308570861816,0.2,0.18580201528966428
