time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/std,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
987,1630208,199,1651,-0.0002536793243052671,0.2,0.008975605,-0.8088638166896999,-0.014187336899340153,0.3732646405696869,1980,0.0938720703125,-0.012604236602783203,0.0010036478715164776,0.0003,0.7642150200000001,4989.0
987,1638400,200,1659,0.0031205360632156954,0.2,0.009752915,-0.7936184178106487,0.004794894717633724,0.37132060527801514,1990,0.09444580078125,0.03858780860900879,0.0008673002686009568,0.0003,0.72198957,4989.0
987,1646592,201,1667,0.0002572935660282383,0.2,0.006484474,-0.7899783050175756,0.009249426424503326,0.370083212852478,2000,0.07615966796875,-0.0017348527908325195,0.0009433911536916639,0.0003,0.72198957,4989.0
987,1654784,202,1675,0.0006585225382877979,0.2,0.007860661,-0.7873926355969161,0.0032578741665929556,0.37260180711746216,2010,0.09405517578125,0.011910021305084229,0.0008921006991840841,0.0003,0.72198957,4989.0
987,1662976,203,1683,0.00021208615253272002,0.2,0.008288275,-0.7719524696003646,-0.014418168924748898,0.3667509853839874,2020,0.08140869140625,0.04824519157409668,0.0013987195252866513,0.0003,0.7499696999999999,4989.0
987,1671168,204,1691,0.00040389380083070134,0.2,0.0076321745,-0.765650378074497,-0.016307508572936058,0.3688328266143799,2030,0.0825439453125,-0.021891474723815918,0.0011423738741314082,0.0003,0.7499696999999999,4989.0
988,1679360,205,1699,-8.977453799161595e-05,0.2,0.009998666,-0.7525033587124199,-0.0026605213060975075,0.36454838514328003,2040,0.09974365234375,0.03606051206588745,0.0012783775406887798,0.0003,0.7829948700000001,4989.0
988,1687552,206,1707,-0.0011872289400344017,0.2,0.0062597534,-0.7322288938798011,-0.005062948912382126,0.36175471544265747,2050,0.087451171875,0.00027626752853393555,0.0009236367888888708,0.0003,0.7829948700000001,4989.0
988,1695744,207,1715,0.0008437232965661679,0.2,0.0073344395,-0.724665108229965,-0.01976679638028145,0.36037981510162354,2060,0.07586669921875,0.01434934139251709,0.0008891107637964523,0.0003,0.7829948700000001,4989.0
988,1703936,208,1723,-7.100407037796685e-05,0.2,0.0069085965,-0.7246415121946483,-0.0059419372119009495,0.3591578006744385,2070,0.081884765625,0.03695768117904663,0.0011529453129469403,0.0003,0.8115184900000001,4989.0
